Name,Balance,Movement,Empty Space,Perspective
The Declaration of Love - de Troy.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
The Entrance to the Grand Canal Venice - Canaletto.jpg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
The Fountain of Love - Fragonard.jpg,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Removed Perspective
The Gate of Calais - Hogarth.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Removed Perspective
The Graham Children - Hogarth.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
The Honorable Mrs Graham.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
The Ladies Waldegrave - Reynolds.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
The Lock - Fragonard.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
The Prearranged Flight - Fragonard.jpg,Highly Balanced Space,Highly Static Movement,Large Empty Space,Removed Perspective
The Progress of Love The Pursuit - Fragonard.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Removed Perspective
The Progress of Love.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
The Scale of Love- Watteau.jpg,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
The Stolen Kiss - Fragonard.jpg,Highly Imbalanced Space,Highly Static Movement,Large Empty Space,Removed Perspective
The Toilet of Venus Boucher.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
The Triumph of Venice - Pompeo.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
The Triumph of Venus - Boucher.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Large Empty Space,Removed Perspective
The Village Bride - Greuze.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
The Swing - Fragonard.jpeg,Highly Balanced Space,Intermediate Movement,Small Empty Space,Removed Perspective
Alyonushka.jpg,Highly Balanced Space,Highly Static Movement,Small Empty Space,Removed Perspective
Charles IV of Spain and His Family - Goyta.jpg,Highly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
Christ on the Sea of Galilee - Delacroix.jpg,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Removed Perspective
Dido building Carthage - Turner.jpg,Mostly Balanced Space,Highly Dynamic Movement,Large Empty Space,Removed Perspective
Entry of the Crusaders in Constantinople - Delacroix.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Fishermen at Sea - Turner.jpg,Mostly Balanced Space,Highly Dynamic Movement,Large Empty Space,Removed Perspective
Hylas and the Nymphs - Waterhouse.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
Jewish wedding in Morocco - Delacroix.jpg,Highly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
Knight at the Crossroads - Vasnetsov.jpg,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Removed Perspective
La maja desnuda - Goya.jpg,Mostly Imbalanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective
Lady Lilith - Rossetti.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Direct Perspective
Medea - Delacroix.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Modern Rome - Turner.jpg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
Saturn Devouring one of his Sons - Lucientes.jpg,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Direct Perspective
Self-portrait with Dr Arrieta - Goya.jpg,Highly Balanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective
Snow Storm - Turner.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Large Empty Space,Removed Perspective
The Abbey in the Oakwood - Friedrich.jpg,Highly Balanced Space,Highly Static Movement,Large Empty Space,Removed Perspective
The Barque of Dante - Delacroix.jpg,Highly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
The Battle of Trafalgar - Turner.jpg,Highly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
The Black Duchess - Goya.jpg,Highly Balanced Space,Highly Static Movement,Large Empty Space,Intermediate Perspective
The Burning of the Houses of Parliament - Turner.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Removed Perspective
The Charging Chasseur - Gericault.jpg,Highly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
The Clothed Maja - Goya.jpg,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
The Colossus - Goya.jpg,Mostly Balanced Space,Highly Dynamic Movement,Large Empty Space,Removed Perspective
The Death of Sardanapalus - Delacroix.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
The Desperate Man - Courbet.jpg,Highly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
The Family of Infante Don Luis - Goya.jpg,Mostly Balanced Space,Highly Dynamic Movement,Large Empty Space,Intermediate Perspective
The Fighting Temeraire - Turner.jpg,Highly Imbalanced Space,Intermediate Movement,Large Empty Space,Removed Perspective
The Hay Wain - Constable.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
The Kiss - Hayez.jpg,Highly Balanced Space,Highly Static Movement,Large Empty Space,Intermediate Perspective
The Lonely Tree - Friedrich.jpg,Highly Balanced Space,Intermediate Movement,Intermediate Empty Space,Removed Perspective
The Massacre at Chios - Delacroix.jpg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
The Monk by the Sea - Friedrich.jpg,Highly Balanced Space,Highly Dynamic Movement,Large Empty Space,Removed Perspective
The Nightmare - Fuseli.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
The Ninth Wave - Aivazovsky.jpg,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Removed Perspective
The Sea of Ice - Friedrich.jpg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
The Second of May 1808 - Goya.jpg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
The Shipwreck - Turner.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
The Slave Ship - Turner.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Large Empty Space,Removed Perspective
The Third of May 1808 - Goya.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
Watson and the Shark - Copley.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
Witches' Flight - Goya.jpg,Mostly Balanced Space,Highly Dynamic Movement,Large Empty Space,Intermediate Perspective
Witches' Sabbath - Goya.jpg,Mostly Imbalanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective
Wreckers Coast of Northumberland - Turner.jpg,Mostly Imbalanced Space,Intermediate Movement,Large Empty Space,Removed Perspective
Bridal Procession on the  Hardangerfjord - Gude.jpeg,Mostly Balanced Space,Highly Dynamic Movement,Large Empty Space,Removed Perspective
Chalk Cliffs on Rugen - Friedrich.jpeg,Highly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
Lady Libert Leading the People - Delocroix.jpeg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
The Raft of the Medusa - Geriacault.jpeg,Highly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
Wanderer above the sea of fog - Friedrich.jpeg,Highly Balanced Space,Intermediate Movement,Large Empty Space,Removed Perspective
A dream caused by the flight of a bee - Dal.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
Apparition of Face and Fruit Dish on a Beach - Dali.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
Battle of Fishes - Masson.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Christ of St John of the Cross - Dali.jpg,Highly Balanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective
Elephants - Dali.jpg,Highly Balanced Space,Highly Dynamic Movement,Large Empty Space,Removed Perspective
Europe after the Rain II - Ernst.jpg,Highly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective
Galatea of the Spheres - Dali.jpg,Highly Balanced Space,Intermediate Movement,Small Empty Space,Direct Perspective
Geopoliticus Child Watching the Birth of the New Man - Dali.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
Girl with Death Mask - Kahlo.jpg,Mostly Imbalanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective
Golconda - Magritte.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Grandma Moorheads aromatic cuisine - Carrington.jpg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
Hand with Reflecting Mirror - Escher.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
Harlequin's Carnival - Miro.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
Landscape - Breton.jpg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
Mama Papa is Wounded - Tanguy.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Large Empty Space,Intermediate Perspective
Man in a Bowler Hat - Magritte.jpg,Highly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
Marxism will heal the sick - Kahlo.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Melting Watch - Dali.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Direct Perspective
Metamorphosis of Narcissus - Dali.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Not to be Reproduced - Magritte.jpg,Mostly Imbalanced Space,Highly Static Movement,Large Empty Space,Intermediate Perspective
Persistence of Memory - Dali.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
Philosopher's Lamp - Magritte.jpg,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Direct Perspective
Self Portrait - Carrington.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Large Empty Space,Intermediate Perspective
Swans Reflecting Elephants - Dali.jpg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
The Anti-pope - Ernst.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
The Barbarians - Ernst.jpg,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
The Burning Giraffe - Dali.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
The Castle of the Pyrenees - Magritte.jpg,Highly Balanced Space,Highly Static Movement,Small Empty Space,Removed Perspective
The Disintegration of the Persistence of Memory - Dali.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
The Elephant Celebes - Ernst.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective
The Giantess - Carrington.jpg,Highly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
The Great Masturbator - Dali.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
The Lovers - Magritte.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
The Menaced Assassin - Magritte.jpg,Highly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
The Sacrament of the Last Supper - Dali.jpg,Highly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
The Son of Man - Magritte.jpg,Highly Balanced Space,Highly Static Movement,Large Empty Space,Intermediate Perspective
The Temptation of St Anthony - Dali.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Large Empty Space,Removed Perspective
The Treachery of Images - Magritte.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Large Empty Space,Direct Perspective
The Triumph of Surrealism - Ernst.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Large Empty Space,Intermediate Perspective
Tilled Field - Miro.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Time Transfixed - Magritte.jpg,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
Tuna Fishing - Dali.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
White Crucifixion - Chagall.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective
Without Hope - Kahlo.jpg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
Woman Old Man and Flower - Ernst.jpg,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
Portrait of Max Ernst - Carrington.jpeg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective
The Broken Column - Kahlo.jpeg,Highly Balanced Space,Intermediate Movement,Small Empty Space,Direct Perspective
The Hallucinogenic Toreador - Dali.jpeg,Highly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
The Robing of the Bride - Ernst.jpeg,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective
Random0.jpg,Random,,,
Random1.jpg,Random,,,
Random10.jpg,Random,,,
Random11.jpg,Random,,,
Random12.jpg,Random,,,
Random13.jpg,Random,,,
Random14.jpg,Random,,,
Random15.jpg,Random,,,
Random16.jpg,Random,,,
Random17.jpg,Random,,,
Random18.jpg,Random,,,
Random19.jpg,Random,,,
Random2.jpg,Random,,,
Random20.jpg,Random,,,
Random21.jpg,Random,,,
Random22.jpg,Random,,,
Random23.jpg,Random,,,
Random24.jpg,Random,,,
Random25.jpg,Random,,,
Random26.jpg,Random,,,
Random27.jpg,Random,,,
Random28.jpg,Random,,,
Random29.jpg,Random,,,
Random3.jpg,Random,,,
Random30.jpg,Random,,,
Random31.jpg,Random,,,
Random32.jpg,Random,,,
Random33.jpg,Random,,,
Random34.jpg,Random,,,
Random35.jpg,Random,,,
Random36.jpg,Random,,,
Random37.jpg,Random,,,
Random38.jpg,Random,,,
Random39.jpg,Random,,,
Random4.jpg,Random,,,
Random40.jpg,Random,,,
Random41.jpg,Random,,,
Random42.jpg,Random,,,
Random43.jpg,Random,,,
Random44.jpg,Random,,,
Random45.jpg,Random,,,
Random46.jpg,Random,,,
Random47.jpg,Random,,,
Random48.jpg,Random,,,
Random5.jpg,Random,,,
Random6.jpg,Random,,,
Random7.jpg,Random,,,
Random8.jpg,Random,,,
Random9.jpg,Random,,,
RandomShapes0.jpg,Random Shapes,,,
RandomShapes1.jpg,Random Shapes,,,
RandomShapes10.jpg,Random Shapes,,,
RandomShapes11.jpg,Random Shapes,,,
RandomShapes12.jpg,Random Shapes,,,
RandomShapes13.jpg,Random Shapes,,,
RandomShapes14.jpg,Random Shapes,,,
RandomShapes15.jpg,Random Shapes,,,
RandomShapes16.jpg,Random Shapes,,,
RandomShapes17.jpg,Random Shapes,,,
RandomShapes18.jpg,Random Shapes,,,
RandomShapes19.jpg,Random Shapes,,,
RandomShapes2.jpg,Random Shapes,,,
RandomShapes20.jpg,Random Shapes,,,
RandomShapes21.jpg,Random Shapes,,,
RandomShapes22.jpg,Random Shapes,,,
RandomShapes23.jpg,Random Shapes,,,
RandomShapes24.jpg,Random Shapes,,,
RandomShapes25.jpg,Random Shapes,,,
RandomShapes26.jpg,Random Shapes,,,
RandomShapes27.jpg,Random Shapes,,,
RandomShapes28.jpg,Random Shapes,,,
RandomShapes29.jpg,Random Shapes,,,
RandomShapes3.jpg,Random Shapes,,,
RandomShapes30.jpg,Random Shapes,,,
RandomShapes31.jpg,Random Shapes,,,
RandomShapes32.jpg,Random Shapes,,,
RandomShapes33.jpg,Random Shapes,,,
RandomShapes34.jpg,Random Shapes,,,
RandomShapes35.jpg,Random Shapes,,,
RandomShapes36.jpg,Random Shapes,,,
RandomShapes37.jpg,Random Shapes,,,
RandomShapes38.jpg,Random Shapes,,,
RandomShapes39.jpg,Random Shapes,,,
RandomShapes4.jpg,Random Shapes,,,
RandomShapes40.jpg,Random Shapes,,,
RandomShapes41.jpg,Random Shapes,,,
RandomShapes42.jpg,Random Shapes,,,
RandomShapes43.jpg,Random Shapes,,,
RandomShapes44.jpg,Random Shapes,,,
RandomShapes45.jpg,Random Shapes,,,
RandomShapes46.jpg,Random Shapes,,,
RandomShapes47.jpg,Random Shapes,,,
RandomShapes48.jpg,Random Shapes,,,
RandomShapes5.jpg,Random Shapes,,,
RandomShapes6.jpg,Random Shapes,,,
RandomShapes7.jpg,Random Shapes,,,
RandomShapes8.jpg,Random Shapes,,,
RandomShapes9.jpg,Random Shapes,,,
uniform0.jpg,Uniform,,,
uniform1.jpg,Uniform,,,
uniform10.jpg,Uniform,,,
uniform11.jpg,Uniform,,,
uniform12.jpg,Uniform,,,
uniform13.jpg,Uniform,,,
uniform14.jpg,Uniform,,,
uniform15.jpg,Uniform,,,
uniform16.jpg,Uniform,,,
uniform17.jpg,Uniform,,,
uniform18.jpg,Uniform,,,
uniform19.jpg,Uniform,,,
uniform2.jpg,Uniform,,,
uniform20.jpg,Uniform,,,
uniform21.jpg,Uniform,,,
uniform22.jpg,Uniform,,,
uniform23.jpg,Uniform,,,
uniform24.jpg,Uniform,,,
uniform25.jpg,Uniform,,,
uniform26.jpg,Uniform,,,
uniform27.jpg,Uniform,,,
uniform28.jpg,Uniform,,,
uniform29.jpg,Uniform,,,
uniform3.jpg,Uniform,,,
uniform30.jpg,Uniform,,,
uniform31.jpg,Uniform,,,
uniform32.jpg,Uniform,,,
uniform33.jpg,Uniform,,,
uniform34.jpg,Uniform,,,
uniform35.jpg,Uniform,,,
uniform37.jpg,Uniform,,,
uniform38.jpg,Uniform,,,
uniform39.jpg,Uniform,,,
uniform4.jpg,Uniform,,,
uniform40.jpg,Uniform,,,
uniform41.jpg,Uniform,,,
uniform42.jpg,Uniform,,,
uniform43.jpg,Uniform,,,
uniform44.jpg,Uniform,,,
uniform45.jpg,Uniform,,,
uniform46.jpg,Uniform,,,
uniform47.jpg,Uniform,,,
uniform48.jpg,Uniform,,,
uniform49.jpg,Uniform,,,
uniform5.jpg,Uniform,,,
uniform6.jpg,Uniform,,,
uniform7.jpg,Uniform,,,
uniform8.jpg,Uniform,,,
uniform9.jpg,Uniform,,,
