Name,Color Mode,Color Diversity,Color Intensity,Color Harmony,Proximity Contrast,Depth,Value Contrast,Average Value,Lines,Balance,Movement,Empty Space,Perspective,Brushstroke Control,Brushstroke Visibility,Outlines
Day of God - Gauguin.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast,Deep Depth,Normal Contrast,Light Value,Distinct Lines,Highly Balanced Space,Intermediate Movement,Small Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Evening Calm - Signac.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast,Deep Depth,Normal Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Harvest at La Crau - van Gogh.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,,Deep Depth,Low Contrast,Light Value,Distinct Lines,Highly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Irises - van Gogh.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,,Normal/Regular Depth,Low Contrast,Light Value,Intermediate Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
Le Chahut - Seurat.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines,Highly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Madame Cezanne - Cezanne.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Highly Static Movement,Small Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Models - Seurat.jpg,Expressionistic Color,Somewhat Diverse Hue,Muted/Tinted,Harmonious Color,,Shallow Depth,Low Contrast,Light Value,Distinct Lines,Highly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Mont Sainte-Victorie - Cezanne.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,,Deep Depth,Low Contrast,Light Value,Intermediate Lines,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Morning Calm - Signac.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,,Deep Depth,Low Contrast,Light Value,Distinct Lines,Highly Balanced Space,Intermediate Movement,Large Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Parade de cirque - Seurat.jpg,Expressionistic Color,Somewhat Diverse Hue,Muted/Tinted,Harmonious Color,,Shallow Depth,Low Contrast,Dark Value,Distinct Lines,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Paul Alexis reading to Emile Zola - Cezanne.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Stark Color Contrast,Shallow Depth,High Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Road with Cypress and Star - van Gogh.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,,Shallow Depth,High Contrast,Balanced Value,Intermediate Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Seascape Near Les Saintes - van Gogh.jpg,Expressionistic Color,Similar Hue,Vibrant Tone,Harmonious Color,,Deep Depth,Low Contrast,Light Value,Intermediate Lines,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Self-portrait dedicated to Vincent van Gogh - Gauguin.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Light Value,Distinct Lines,Highly Imbalanced Space,Highly Dynamic Movement,Large Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Self-portrait in a hat - Gauguin.jpg,Expressionistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Normal/Regular Depth,Normal Contrast,Dark Value,Distinct Lines,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Self-portrait with bandaged ear - van gogh.jpg,Expressionistic Color,Somewhat Diverse Hue,Muted/Tinted,Friction/Tension Color,,Shallow Depth,Low Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Highly Static Movement,Small Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Heavy Outlines
Spirit of the Dead Watching - Gauguin.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,High Contrast,Dark Value,Intermediate Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Starry Night over the Rhone - van Gogh.jpg,Expressionistic Color,Similar Hue,Vibrant Tone,Harmonious Color,,Deep Depth,High Contrast,Dark Value,Intermediate Lines,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Still Life with Plaster Cupid - Cezanne.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
The Basket of Apples - Cezanne.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
The Bather - Cezanne.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Shallow Depth,Low Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
The Bedroom - van Gogh.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast,Shallow Depth,Low Contrast,Light Value,Distinct Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
The Card Players - Cezanne.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
The Church at Auvers - van Gogh.jpg,Expressionistic Color,Similar Hue,Vibrant Tone,Harmonious Color,,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
The Dream - Rosseau.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,High Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Mango Trees - Gauguin.jpg,Expressionistic Color,Highly Diverse Hue,True Tone,Harmonious Color,,Deep Depth,Normal Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
The Painter of Sunflowers - Gauguin.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,Low Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
The Red Cow - Gauguin.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,,Normal/Regular Depth,Normal Contrast,Light Value,Intermediate Lines,Highly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
The Red Rock - Cezanne.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,,Shallow Depth,Normal Contrast,Light Value,Intermediate Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective,Mostly Wild Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
The Sleeping Gypsy - Rosseau.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast,Deep Depth,High Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Starry Night - van Gogh.jpg,Expressionistic Color,Similar Hue,Vibrant Tone,Harmonious Color,,Normal/Regular Depth,High Contrast,Dark Value,Distinct Lines,Highly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Tiger in a Tropical Storm - Rosseau.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Highly Static Movement,Small Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Tropical Conversation - Gauguin.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Friction/Tension Color,,Normal/Regular Depth,Low Contrast,Light Value,Intermediate Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Turning Road at Montgeroult - Cezanne.jpg,Expressionistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,,Normal/Regular Depth,Normal Contrast,Balanced Value,Intermediate Lines,Mostly Imbalanced Space,Highly Static Movement,Intermediate Empty Space,Removed Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Vision after the Sermon - Gauguin.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Wheatfield with Crows - van Gogh.jpg,Expressionistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,,Shallow Depth,Low Contrast,Dark Value,Indistinct Lines,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
When will you marry - Gauguin.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,,Deep Depth,Normal Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Self-portrait dedicated to Paul Gauguin - van Gogh.jpeg,Expressionistic Color,Similar Hue,True Tone,Harmonious Color,Stark Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Highly Static Movement,Large Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
Still Life with Apples - Cezanne.jpeg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,High Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
A Burial at Ornans - Courbet.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Shallow Depth,High Contrast,Dark Value,Intermediate Lines,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
A Loge at the Theater des Italiens - Gonzales.jpg,Naturalistic Color,Somewhat Diverse Hue,Muted/Tinted,Friction/Tension Color,Blended Color Contrast,Shallow Depth,High Contrast,Balanced Value,Intermediate Lines,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Autum Day - Levitan.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,,Deep Depth,Low Contrast,Light Value,Intermediate Lines,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Autumn Bouquet - Repin.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Friction/Tension Color,,Deep Depth,Low Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Bar at the Folies-Bergere - Manet.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Deep Depth,Normal Contrast,Balanced Value,Intermediate Lines,Mostly Imbalanced Space,Highly Static Movement,Small Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Barge Haulers on the Volga - Repin.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Friction/Tension Color,Blended Color Contrast,Deep Depth,High Contrast,Light Value,Distinct Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Beach at Scheveningen in Stormy Weather - van Gogh.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,,Normal/Regular Depth,High Contrast,Dark Value,Indistinct Lines,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Corner of a Cafe-Concert - Manet.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Emile Zola - Manet.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Shallow Depth,High Contrast,Dark Value,Distinct Lines,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Family Portrait - Ostade.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Shallow Depth,High Contrast,Balanced Value,Distinct Lines,Highly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Femme nu Couchee - Courbet.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Golden Autumn - Levitan.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Deep Depth,Low Contrast,Light Value,Intermediate Lines,Highly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Hawning Apprentice - Mankacsy.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Shallow Depth,High Contrast,Dark Value,Intermediate Lines,Mostly Imbalanced Space,Highly Static Movement,Large Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Hunters at Rest - Perov.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
In the Conservatory - Manet.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,Low Contrast,Light Value,Distinct Lines,Highly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Ivan the Terrible and His Son Ivan - Repin.jpg,Naturalistic Color,Similar Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Normal/Regular Depth,High Contrast,Dark Value,Distinct Lines,Highly Balanced Space,Highly Static Movement,Large Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Jewess with Oranges - Gierymski.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines,Highly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
L'Angelus - Millet.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Deep Depth,Low Contrast,Dark Value,Distinct Lines,Highly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
La rencontre - Courbet.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Normal/Regular Depth,Normal Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Les Demoiselles du bord de la Seine - Courbet.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Morning in a Pine Forest - Shishkin.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Music in the Tuileries Gardens - Manet.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Deep Depth,Normal Contrast,Balanced Value,Intermediate Lines,Highly Balanced Space,Intermediate Movement,Small Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Olympia - Manet.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,High Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Ploughing in the Nivernais - Bonheur.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Deep Depth,Normal Contrast,Light Value,Distinct Lines,Mostly Imbalanced Space,Intermediate Movement,Large Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Plum Brandy - Manet.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,Low Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Portrait of an Unknown Woman - Kramskoi.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Science and Charity - Picasso.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Sheep in the Highlands - Bonheur.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Skull of a Skeleton with Burning Cigarette - van Gogh.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,,Shallow Depth,High Contrast,Dark Value,Distinct Lines,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Taking a Snow Town - Surikov.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Highly Dynamic Movement,Large Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Apotheosis of War - Vereschchagin.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Deep Depth,Normal Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Daughters of Edward Darley Boit.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines,Highly Imbalanced Space,Highly Dynamic Movement,Large Empty Space,Removed Perspective,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Fifer - Manet.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The First Mourning - Bouguereau.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines,Highly Balanced Space,Highly Dynamic Movement,Large Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Gleaners - Millet.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast,Deep Depth,Normal Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Little Cavaliers - Manet.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Morning of the Streltsy Execution - Surikov.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Deep Depth,High Contrast,Balanced Value,Distinct Lines,Highly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Painter's Studio - Courbet.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast,Shallow Depth,High Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Railway - Manet.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Normal/Regular Depth,Low Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Rooks Have Come Back - Savrasov.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Violoncellist - Courbet.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Shallow Depth,High Contrast,Dark Value,Intermediate Lines,Highly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
