Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Adoration of the Kings - van der Goes.jpg,Religious Subgenre,Outdoors,Public Domain,Rural Realm,Festivity/Celebration,Religious Action,Spirituality,Cycle of life,Beauty,Greatness,Harmony,,,,,,
Adoration of the Magi - Botticelli.jpg,Religious Subgenre,Outdoors,Public Domain,Rural Realm,Festivity/Celebration,Religious Action,Communication,Spirituality,Cycle of life,Beauty,Morality,Greatness,,,,,
Arnolfini Portrait - van Eyck.jpg,Commoner,Status,Dedication,Vacancy,Peace,,,,,,,,,,,,
Baptism of Christ - Verrocchio.jpg,Religious Subgenre,Outdoors,Private Domain,Rural Realm,Religious Action,Spirituality,Cycle of life,Morality,Greatness,,,,,,,,
Birth of the Virgin - Ghirlandaio.jpg,Religious Subgenre,Indoors,Public Domain,Urban Realm,Rest/Liesure,Religious Action,Festivity/Celebration,,Spirituality,Cycle of life,Love,Morality,Joy,,,,
Calumny of Apelles - Botticelli.jpg,Literary Subgenre,Indoors,Public Domain,Urban Realm,Violence,Conflict,Communication,Morality,Drama,Antiquity,,,,,,,
Christ and the Virgin - Campin.jpg,Religious Subgenre,Outdoors,Private Domain,,Religious Action,Spirituality,Color,Warm,Greatness,,,,,,,,
Christ Giving the Keys of the Kingdom to St. Peter - Perugino.jpg,Religious Subgenre,Outdoors,Public Domain,Urban Realm,Communication,Festivity/Celebration,Spirituality,Morality,Harmony,Greatness,,,,,,,
Crucifixion with the Virgin and St. John - van der weyden.jpg,Religious Subgenre,Outdoors,Private Domain,,Religious Action,,Violence,Spirituality,Morality,Loss,Sadness,Strife/Pain,,,,,
Danae - Correggio.jpg,Mythological Subgenre,Indoors,Private Domain,Urban Realm,Rest/Liesure,Youth,Sexuality,Comfort,Joy,,,,,,,,
Death of the Virgin - Mantegna.jpg,Religious Subgenre,Indoors,Public Domain,Urban Realm,Conflict,,Spirituality,Cycle of life,Drama,Loss,Sadness,,,,,,
La Primavera (Spring) - Botticelli.jpg,Allegorical Subgenre,Outdoors,Public Domain,Rural Realm,Festivity/Celebration,Drama,New Directions,Bountiful/Giving,Community/Family,Nature Interaction,Beauty,,,,,,
Lamentation of Christ - Mantegna.jpg,Religious Subgenre,Indoors,Private Domain,,Conflict,,Spirituality,Strife/Pain,Hope,Sadness,,,,,,,
Madonna and Child - Crivelli.jpg,Religious,Greatness,Dedication,Elegance,,,,,,,,,,,,,
Madonna and Child with Two Angels - Fra Filippo Lippi.jpg,Religious,Warm,Dedication,Beauty/Ideal,Greatness,Youth,Lively,,,,,,,,,,
Madonna in the Church - van Eyck.jpg,Religious Subgenre,Indoors,Private Domain,Urban Realm,Chores,Spirituality,Greatness,Harmony,,,,,,,,,
Madonna of the Meadow - Raphael.jpg,Religious Subgenre,Outdoors,Private Domain,Rural Realm,Recreation,Rest/Liesure,Community/Family,Spirituality,Love,Harmony,Intimacy,,,,,,
Miracle of the Relic of the Cross at the Rialto Bridge - Carpaccio.jpg,Religious Subgenre,Outdoors,Public Domain,Urban Realm,Festivity/Celebration,Work,Chores,Spirituality,Morality,Lively,Greatness,,,,,,
Mona Lisa - da Vinci.jpg,Aristocracy,Beauty/Ideal,Harmony,Warm,Elegance,,,,,,,,,,,,
Pastoral Concert - Titian.jpg,Outdoors,Private Domain,Rural Realm,Recreation,Rest/Liesure,Communication,Occupation of Time,Harmony,Intimacy,Joy,,,,,,,
Pieta - Bellini.jpg,Religious Subgenre,Outdoors,Private Domain,,,Spirituality,Cycle of life,Loss,Drama,Sadness,Strife/Pain,,,,,,
Pieta of Villeneuve les avignon.jpg,Religious Subgenre,Outdoors,Private Domain,Rural Realm,Religious Action,Conflict,,Spirituality,Cycle of life,Color,Sadness,Beauty,Loss,,,,
Portrait of a Man with a Medal of Cosimo il Vecchio de' Medici - Botticelli.jpg,Aristocracy,Confidence,Status,,,,,,,,,,,,,,
Portrait of a Young Girl - Christus.jpg,Aristocracy,Status,Beauty/Ideal,Serious,Elegance,Harmony,,,,,,,,,,,
Portrait of a Young Woman - Botticelli.jpg,Aristocracy,Status,Casual,Gender,Dedication,Harmony,,,,,,,,,,,
Portrait of Eleonora Gonzaga - Titian.jpg,Aristocracy,Status,Beauty/Ideal,Greatness,Serious,Elegance,Gender,,,,,,,,,,
Portrait of Francesco Maria Della Rovere - Titian.jpg,Aristocracy,Status,Power,Greatness,Serious,Strength,Confidence,Harmony,,,,,,,,,
Portrait of Pope Julius II - Raphael.jpg,Religious,Thoughtful,Intimacy,Greatness,,,,,,,,,,,,,
Portrait of Sultan Mehmed II - Bellini.jpg,Royalty,Status,Cross Culturalism,Detachment,Greatness,,,,,,,,,,,,
Saint Luke Painting the Madonna - Gossaert.jpg,Religious Subgenre,Indoors,Private Domain,,Work,Spirituality,Greatness,Drama,,,,,,,,,
Saint Sebastian - Mentegna.jpg,Religious Subgenre,Outdoors,Public Domain,Urban Realm,Violence,Conflict,Spirituality,Morality,the Body,Strife/Pain,Strength,Greatness,,,,,
School of Athens - Raphael.jpg,Indoors,Public Domain,Urban Realm,Work,Education,Festivity/Celebration,Communication,Community/Family,Science,Antiquity,Harmony,Lively,Drama,Greatness,,,
Self Portrait - Durer.jpg,Other/Self/Personal,Vacancy,Harmony,Serious,Beauty/Ideal,,,,,,,,,,,,
Sleeping Venus - Giorgione.jpg,Outdoors,Private Domain,Rural Realm,Rest/Liesure,the Body,Beauty,Occupation of Time,Harmony,Sensual,Elegance,Comfort,,,,,,
The Ambassadors - Holbein.jpg,Government/Military,Status,Genius,Dedication,Science,Uneasiness,,,,,,,,,,,
The Annunciation - Fra Angelico.jpg,Religious Subgenre,Outdoors,Private Domain,,Religious Action,Communication,Spirituality,Greatness,Harmony,,,,,,,,
The Birth of Venus - Botticelli.jpg,Mythological Subgenre,Outdoors,Private Domain,Rural Realm,Festivity/Celebration,the Body,Beauty,Nature Interaction,Antiquity,Elegance,Sensual,Harmony,Drama,Lively,,,
The Creation of Adam - Michelangelo.jpg,Religious Subgenre,Outdoors,Private Domain,Rural Realm,Festivity/Celebration,Spirituality,Drama,the Body,Cycle of life,,,,,,,,
The Crowning wiht Thorns - Titian.jpg,Religious Subgenre,Indoors,Public Domain,,Violence,Conflict,Spirituality,Antiquity,Strife/Pain,Drama,,,,,,,
The Damned Cast into Hell - Signorelli.jpg,Religious Subgenre,Outdoors,Public Domain,,Violence,Conflict,Religious Action,Work,Spirituality,Cycle of life,Social Consciousness,Morality,Ugly,Lively,Drama,Uneasiness,
The Last Judgement - Michelangelo.jpg,Religious Subgenre,Outdoors,Public Domain,,Religious Action,Festivity/Celebration,Violence,Conflict,Spirituality,Cycle of life,Social Consciousness,Morality,Drama,Lively,,,
The Last Supper - da Vinci.jpg,Religious Subgenre,Indoors,Private Domain,Rural Realm,Dining,Festivity/Celebration,Communication,Conflict,Spirituality,Morality,Harmony,,,,,,
The Sistine Madonna - Raphael.jpg,Religious Subgenre,Outdoors,Private Domain,,Festivity/Celebration,Spirituality,Greatness,,,,,,,,,,
The Tempest - Giorgione.jpg,Outdoors,Private Domain,Urban Realm,Rest/Liesure,Love,Sexuality,,,,,,,,,,,
The tower of babel - Bruegel.jpg,City,Human(s),Morality,Conflict,Uneasiness,,,,,,,,,,,,
The virgin and child with saint and donor - david.jpg,Religious Subgenre,Outdoors,Private Domain,Urban Realm,Rest/Liesure,Religious Action,Communication,Community/Family,Spirituality,Harmony,Greatness,,,,,,
Three Philosophers - Giorgione.jpg,Outdoors,Private Domain,Rural Realm,Rest/Liesure,Education,Communication,Chores,Cycle of life,Science,New Directions,Mystery,Harmony,Dedication,,,,
Two Witches - Grien.jpg,Outdoors,Private Domain,Rural Realm,Work,Religious Action,Spirituality,the Body,Morality,Sexuality,Gender,Drama,Harmony,Discipline,,,,
Archduchess Marie Antionette Queen of France - LeBrun.jpg,Royalty,Status,Power,Beauty/Ideal,Greatness,Harmony,Elegance,,,,,,,,,,
Boy with a Spinning Top - Chardin.jpg,Indoors,Private Domain,Urban Realm,Recreation,Beauty,Occupation of Time,Youth,Joy,,,,,,,,,
Charles III Dining Before the Court - Prado.jpg,Indoors,Public Domain,Urban Realm,Recreation,Dining,Patriotism,Government,Occupation of Time,Love,Lively,Harmony,Abundance,,,,,
Cupid and Psyche - West.jpg,Outdoors,Private Domain,Rural Realm,Rest/Liesure,Community/Family,Social Consciousness,the Body,Beauty,Love,Drama,Youth,Intimacy,,,,,
Diana after a bath - Boucher.jpg,Outdoors,Private Domain,Rural Realm,Rest/Liesure,Chores,Communication,the Body,Beauty,Occupation of Time,Sensual,Nature Interaction,Comfort,Harmony,Abundance,,,
Diana After the Hunt - Boucher.jpg,Outdoors,Private Domain,Rural Realm,Rest/Liesure,Chores,Communication,the Body,Beauty,Occupation of Time,Nature Interaction,Joy,Sensual,Elegance,Abundance,Harmony,Comfort,
Dresden - Bellotto.jpg,City,Human(s),Peaceful,Greatness,Harmony,Ideal,,,,,,,,,,,
Elizabeth Trubetskaya.jpg,Aristocracy,Status,Beauty/Ideal,Joy,Mischievous,Thoughtful,,,,,,,,,,,
Hercules and Omphale.jpg,Outdoors,Private Domain,Rural Realm,Rest/Liesure,Communication,the Body,Love,Harmony,Joy,Intimacy,Sexuality,,,,,,
La Toilette de Venus - Boucher.jpg,Indoors,Private Domain,Urban Realm,Rest/Liesure,Chores,the Body,Beauty,Occupation of Time,Sensual,Sexuality,Abundance,Harmony,Freshness,Lively,,,
Les Plaisirs du Bal - Watteau.jpg,Outdoors,Public Domain,Rural Realm,Recreation,Rest/Liesure,Festivity/Celebration,Community/Family,Social Consciousness,Occupation of Time,Abundance,Harmony,Joy,Lively,,,,
Luncheon with Ham - Lancret.jpg,Outdoors,Public Domain,Rural Realm,Recreation,Dining,Festivity/Celebration,Community/Family,Social Consciousness,Occupation of Time,Abundance,Joy,Lively,,,,,
Madame Bergeret - Francois.jpg,Aristocracy,Status,Beauty/Ideal,Joy,Youth,Abundance,,,,,,,,,,,
Madame de Pompadour - Boucher.jpg,Aristocracy,Status,Beauty/Ideal,Joy,Abundance,Comfort,,,,,,,,,,,
Marie Antoinette and Her Children - Le Brun.jpg,Royalty,Status,Beauty/Ideal,Greatness,Dedication,Intimacy,Joy,Power,,,,,,,,,
Marrigae a la mode - Hogarth.jpg,Indoors,Public Domain,Urban Realm,Work,Chores,Communication,Community/Family,Social Consciousness,Morality,Lively,Gender,,,,,,
Mr and Mrs William Hallett - Gainsborough.jpg,Aristocracy,Status,Dedication,New Directions,Abundance,Texture,Harmony,,,,,,,,,,
Mrs Richard Brinsley Sheridan - Gainsborough.jpg,Thinker/Artist,Confidence,Abundance,Isolation,Texture,Beauty/Ideal,Thoughtful,,,,,,,,,,
Mrs Sarah Siddons - Gainsborough.jpg,Thinker/Artist,Status,Beauty/Ideal,Power,Abundance,Texture,,,,,,,,,,,
Piazza San Marco - Canaletto.jpg,City,Human(s),Beauty,Ideal,Harmony,Lively,,,,,,,,,,,
Pierrot - Watteau.jpg,Outdoors,Public Domain,Rural Realm,Recreation,Work,Social Consciousness,Occupation of Time,Warm,Joy,,,,,,,,
Pilgrimage to Cythera - Watteau.jpg,Outdoors,Public Domain,Rural Realm,Recreation,Rest/Liesure,Festivity/Celebration,Social Consciousness,Beauty,Love,Occupation of Time,Abundance,Texture,Sexuality,Nature Interaction,Harmony,,
Portrait of Louis XV - Ranc.jpg,Royalty,Status,Greatness,Youth,Abundance,Confidence,,,,,,,,,,,
Portrait of Prokofiy Demidov - Levitsky.jpg,Aristocracy,Status,Greatness,Joy,,,,,,,,,,,,,
Satan Sin and Death - Hogarth.jpg,Literary Subgenre,Outdoors,Private Domain,,Violence,Conflict,Communication,Community/Family,Morality,Sexuality,Drama,,,,,,
Self Portrait with Straw Hat - Le Brun.jpg,Other/Self/Personal,Status,Genius,Beauty/Ideal,Elegance,Gender,,,,,,,,,,,
Soap Bubbles - Chardin.jpg,Indoors,Private Domain,,Recreation,Beauty,Occupation of Time,Joy,Harmony,Youth,Peace,,,,,,,
The Archers - Reynolds.jpg,Outdoors,Private Domain,Rural Realm,Recreation,Occupation of Time,Nature Interaction,Texture,Harmony,Abundance,,,,,,,,
The Banquet of Cleopatra - Tiepolo.jpg,History Subgenre,Indoors,Public Domain,Urban Realm,Recreation,Dining,Festivity/Celebration,Communication,Drama,Abundance,Sexuality,Gender,Harmony,Lively,,,
The Bathers - Fragonard.jpg,Outdoors,Private Domain,Rural Realm,Recreation,Chores,Festivity/Celebration,Beauty,Occupation of Time,Lively,Texture,Joy,Sexuality,Nature Interaction,Harmony,,,
The Blue Boy - Gainsborough.jpg,Aristocracy,Status,Beauty/Ideal,Youth,Mischievous,Confidence,Texture,,,,,,,,,,
The Declaration of Love - de Troy.jpg,Outdoors,Public Domain,Rural Realm,Recreation,Communication,Festivity/Celebration,Community/Family,Social Consciousness,Love,Drama,Harmony,Lively,,,,,
The Entrance to the Grand Canal Venice - Canaletto.jpg,City,,Ideal,Lively,,,,,,,,,,,,,
The Fountain of Love - Fragonard.jpg,Allegorical Subgenre,Outdoors,Private Domain,Rural Realm,Recreation,Love,Harmony,Texture,Sexuality,Antiquity,Lively,Youth,Joy,,,,
The Gate of Calais - Hogarth.jpg,Outdoors,Public Domain,Urban Realm,Work,Festivity/Celebration,Communication,Community/Family,Occupation of Time,Joy,,,,,,,,
The Graham Children - Hogarth.jpg,Aristocracy,Status,Beauty/Ideal,Joy,Youth,Casual,Abundance,,,,,,,,,,
The Honorable Mrs Graham.jpg,Aristocracy,Status,Beauty/Ideal,Thoughtful,Abundance,,,,,,,,,,,,
The Ladies Waldegrave - Reynolds.jpg,Aristocracy,Status,Beauty/Ideal,Youth,Elegance,Harmony,Abundance,,,,,,,,,,
The Lock - Fragonard.jpg,Indoors,Private Domain,Urban Realm,Recreation,Rest/Liesure,the Body,Beauty,Love,Sexuality,Drama,Harmony,,,,,,
The Prearranged Flight - Fragonard.jpg,Outdoors,Private Domain,Rural Realm,Recreation,Beauty,Occupation of Time,Joy,Elegance,Lively,,,,,,,,
The Progress of Love The Pursuit - Fragonard.jpg,Outdoors,Private Domain,Rural Realm,Recreation,Communication,Beauty,Love,Drama,Abundance,Texture,Youth,Joy,Nature Interaction,Harmony,,,
The Progress of Love.jpg,Outdoors,Private Domain,Rural Realm,Recreation,Beauty,Love,Abundance,Texture,Youth,Joy,Drama,Harmony,,,,,
The Scale of Love- Watteau.jpg,Outdoors,Private Domain,Rural Realm,Recreation,Rest/Liesure,Communication,Love,Occupation of Time,Texture,Abundance,Intimacy,,,,,,
The Stolen Kiss - Fragonard.jpg,Indoors,Private Domain,Urban Realm,Recreation,Love,Youth,Texture,Mischievous,Joy,Sexuality,,,,,,,
The Toilet of Venus Boucher.jpg,Indoors,Private Domain,Urban Realm,Rest/Liesure,Chores,the Body,Beauty,Occupation of Time,Abundance,Freshness,Joy,Sexuality,Lively,Harmony,,,
The Triumph of Venice - Pompeo.jpg,Allegorical Subgenre,Outdoors,Public Domain,Urban Realm,Festivity/Celebration,Work,Abundance,Drama,Greatness,Antiquity,Patriotism,Lively,Harmony,,,,
The Triumph of Venus - Boucher.jpg,Outdoors,Public Domain,Rural Realm,Recreation,Rest/Liesure,Chores,Festivity/Celebration,Love,Beauty,Texture,Abundance,Sexuality,Joy,Lively,,,
The Village Bride - Greuze.jpg,Indoors,Private Domain,Rural Realm,Conflict,Communication,Chores,Community/Family,Love,Drama,Uneasiness,Lively,,,,,,
The Swing - Fragonard.jpeg,Outdoors,Private Domain,Rural Realm,Recreation,Beauty,Love,Occupation of Time,Joy,Sexuality,Mischievous,Abundance,Texture,Nature Interaction,Harmony,,,
Alyonushka.jpg,Mythological Subgenre,Outdoors,Private Domain,Rural Realm,Conflict,Rest/Liesure,Morality,Nature Interaction,Texture,Harmony,,,,,,,
Charles IV of Spain and His Family - Goyta.jpg,Royalty,Status,Greatness,Joy,Dedication,Love,Elegance,Harmony,,,,,,,,,
Christ on the Sea of Galilee - Delacroix.jpg,Religious Subgenre,Outdoors,Public Domain,Rural Realm,Work,Violence,Conflict,Spirituality,Power,Occupation of Time,Drama,Nature Interaction,Texture,,,,
Dido building Carthage - Turner.jpg,City,Human(s),Beauty,Ideal,New Directions,,,,,,,,,,,,
Entry of the Crusaders in Constantinople - Delacroix.jpg,History Subgenre,Outdoors,Public Domain,Urban Realm,Violence,Conflict,,Government,Morality,Ugly,Texture,Drama,,,,,
Fishermen at Sea - Turner.jpg,Outdoors,Public Domain,Rural Realm,Work,Power,Cycle of life,Nature Interaction,Fear,,,,,,,,,
Hylas and the Nymphs - Waterhouse.jpg,Mythological Subgenre,Outdoors,Public Domain,Rural Realm,Communication,Morality,Sexuality,Ugly,Color,Drama,,,,,,,
Jewish wedding in Morocco - Delacroix.jpg,Indoors,Public Domain,Urban Realm,Recreation,Festivity/Celebration,Community/Family,Love,Lively,,,,,,,,,
Knight at the Crossroads - Vasnetsov.jpg,Literary Subgenre,Outdoors,Private Domain,Rural Realm,Chores,Conflict,Cycle of life,Mystery,Drama,Isolation,,,,,,,
La maja desnuda - Goya.jpg,Indoors,Private Domain,,Rest/Liesure,the Body,Beauty,,,,,,,,,,,
Lady Lilith - Rossetti.jpg,Religious,Beauty/Ideal,Sexuality,Gender,Vacancy,Abundance,,,,,,,,,,,
Medea - Delacroix.jpg,Mythological Subgenre,Outdoors,Private Domain,Rural Realm,Violence,Conflict,Community/Family,Morality,Drama,Ugly,Gender,Fear,Uneasiness,,,,
Modern Rome - Turner.jpg,City,Human(s),Peaceful,Cycle of life,Harmony,New Directions,,,,,,,,,,,
Saturn Devouring one of his Sons - Lucientes.jpg,Mythological Subgenre,Outdoors,Private Domain,,Dining,Violence,the Mind,Cycle of life,Ugly,Uneasiness,Strife/Pain,Morality,,,,,
Self-portrait with Dr Arrieta - Goya.jpg,Other/Self/Personal,Greatness,Dedication,Strife/Pain,Science,Hope,the Mind,Fear,Cycle of life,,,,,,,,
Snow Storm - Turner.jpg,Mountain,Human(s),Power,Danger,Unforgiving,Drama,Nature Interaction,Antiquity,Fear,,,,,,,,
The Abbey in the Oakwood - Friedrich.jpg,Mountain,Buildings,Mystery,Unforgiving,Cycle of life,Nature Interaction,,,,,,,,,,,
The Barque of Dante - Delacroix.jpg,History Subgenre,Outdoors,Public Domain,Rural Realm,Violence,Conflict,Work,Spirituality,the Mind,Power,Morality,Nature Interaction,Fear,Drama,Uneasiness,,
The Battle of Trafalgar - Turner.jpg,History Subgenre,Outdoors,Public Domain,Rural Realm,Violence,Conflict,Government,Government,Patriotism,Greatness,Nature Interaction,,,,,,
The Black Duchess - Goya.jpg,Aristocracy,Status,Confidence,Dedication,,,,,,,,,,,,,
The Burning of the Houses of Parliament - Turner.jpg,River/Lake,Buildings,Power,Danger,Unforgiving,Nature Interaction,,,,,,,,,,,
The Charging Chasseur - Gericault.jpg,Outdoors,Public Domain,Rural Realm,Conflict,Work,Government,Patriotism,Greatness,Strength,,,,,,,,
The Clothed Maja - Goya.jpg,Indoors,Private Domain,,Rest/Liesure,the Body,Beauty,Gender,Sensual,,,,,,,,,
The Colossus - Goya.jpg,Outdoors,Public Domain,Rural Realm,Violence,Conflict,Government,Ugly,Power,Patriotism,Greatness,,,,,,,
The Death of Sardanapalus - Delacroix.jpg,Literary Subgenre,Indoors,Public Domain,,Work,Rest/Liesure,Violence,Conflict,Cycle of life,Government,the Body,Ugly,Abundance,Drama,Antiquity,,
The Desperate Man - Courbet.jpg,Other/Self/Personal,Strife/Pain,Greatness,Dedication,Uneasiness,Drama,Thoughtful,,,,,,,,,,
The Family of Infante Don Luis - Goya.jpg,Royalty,Status,Joy,Community/Family,,,,,,,,,,,,,
The Fighting Temeraire - Turner.jpg,Outdoors,Public Domain,Rural Realm,Work,Cycle of life,Beauty,Greatness,New Directions,Nature Interaction,Elegance,,,,,,,
The Hay Wain - Constable.jpg,Farm/grassland,Buildings,Beauty,Bountiful/Giving,,,,,,,,,,,,,
The Kiss - Hayez.jpg,Indoors,Private Domain,,Recreation,Communication,Government,Government,Social Consciousness,Love,Drama,Patriotism,Intimacy,,,,,
The Lonely Tree - Friedrich.jpg,Mountain,,Peaceful,Beauty,Isolation,Strength,,,,,,,,,,,
The Massacre at Chios - Delacroix.jpg,History Subgenre,Outdoors,Public Domain,Rural Realm,Rest/Liesure,Violence,Conflict,,Government,Cycle of life,Morality,Fear,Ugly,Strife/Pain,Drama,,
The Monk by the Sea - Friedrich.jpg,Outdoors,Private Domain,Rural Realm,Recreation,Education,Spirituality,Isolation,Vacancy,Nature Interaction,Mystery,,,,,,,
The Nightmare - Fuseli.jpg,Indoors,Private Domain,,Rest/Liesure,Conflict,the Mind,Drama,Fear,Sexuality,Ugly,,,,,,,
The Ninth Wave - Aivazovsky.jpg,Sea/Ocean,Human(s),Power,Danger,Unforgiving,Drama,Fear,Nature Interaction,Beauty,Strength,,,,,,,
The Sea of Ice - Friedrich.jpg,Sea/Ocean,,Power,Unforgiving,Fear,Nature Interaction,Sadness,,,,,,,,,,
The Second of May 1808 - Goya.jpg,History Subgenre,Outdoors,Public Domain,Urban Realm,Violence,Conflict,Government,Community/Family,Government,Power,Patriotism,Drama,Uneasiness,,,,
The Shipwreck - Turner.jpg,Outdoors,Public Domain,Rural Realm,Violence,Conflict,,Power,Greatness,Nature Interaction,Strength,Drama,Lively,,,,,
The Slave Ship - Turner.jpg,History Subgenre,Outdoors,Public Domain,Rural Realm,Work,Violence,,Cycle of life,Social Consciousness,Ugly,Nature Interaction,Drama,Lively,,,,
The Third of May 1808 - Goya.jpg,History Subgenre,Outdoors,Public Domain,Urban Realm,Violence,Conflict,Communication,Community/Family,Government,Government,Patriotism,Fear,Sadness,,,,
Watson and the Shark - Copley.jpg,History Subgenre,Outdoors,Public Domain,Urban Realm,Violence,Work,Power,Nature Interaction,Fear,Community/Family,Drama,Strife/Pain,Strength,,,,
Witches' Flight - Goya.jpg,Outdoors,Private Domain,Rural Realm,Festivity/Celebration,Violence,Conflict,Social Consciousness,the Mind,Drama,,,,,,,,
Witches' Sabbath - Goya.jpg,Outdoors,Public Domain,Rural Realm,Religious Action,Violence,Communication,,Social Consciousness,Drama,Morality,,,,,,,
Wreckers Coast of Northumberland - Turner.jpg,History Subgenre,Outdoors,Public Domain,Rural Realm,Work,Violence,Power,Nature Interaction,Greatness,,,,,,,,
Bridal Procession on the  Hardangerfjord - Gude.jpeg,Outdoors,Public Domain,Rural Realm,Festivity/Celebration,Recreation,Community/Family,Beauty,Love,Nature Interaction,Patriotism,Joy,,,,,,
Chalk Cliffs on Rugen - Friedrich.jpeg,Outdoors,Private Domain,Rural Realm,Recreation,Cycle of life,Beauty,Love,Hope,Peace,Nature Interaction,,,,,,,
Lady Libert Leading the People - Delocroix.jpeg,Allegorical Subgenre,Outdoors,Public Domain,Urban Realm,Violence,Festivity/Celebration,Work,,Community/Family,Government,Government,Social Consciousness,Patriotism,Drama,Lively,Greatness,
The Raft of the Medusa - Geriacault.jpeg,History Subgenre,Outdoors,Public Domain,Rural Realm,Conflict,Violence,,Cycle of life,the Body,the Mind,Ugly,Drama,Strife/Pain,Nature Interaction,Lively,,
Wanderer above the sea of fog - Friedrich.jpeg,Outdoors,Private Domain,Rural Realm,Recreation,Spirituality,Beauty,Occupation of Time,Peace,Nature Interaction,Harmony,,,,,,,
A dream caused by the flight of a bee - Dal.jpg,Outdoors,Private Domain,,Rest/Liesure,Conflict,Power,the Mind,Drama,Uneasiness,Sensual,Sexuality,,,,,,
Apparition of Face and Fruit Dish on a Beach - Dali.jpg,Beach,,Mystery,Uneasiness,Deconstruction,the Mind,,,,,,,,,,,
Battle of Fishes - Masson.jpg,,,,,,,,,,,,,,,,,
Christ of St John of the Cross - Dali.jpg,Religious Subgenre,Outdoors,Private Domain,Rural Realm,Violence,Religious Action,Spirituality,Cycle of life,the Mind,,,,,,,,
Elephants - Dali.jpg,Outdoors,Private Domain,Rural Realm,Chores,the Mind,Beauty,Harmony,,,,,,,,,,
Europe after the Rain II - Ernst.jpg,Farm/grassland,Buildings,War,Exhaustion,Strife/Pain,Ugly,,Fear,Uneasiness,,,,,,,,
Galatea of the Spheres - Dali.jpg,Other/Self/Personal,Beauty/Ideal,Deconstruction,the Mind,Science,Greatness,,,,,,,,,,,
Geopoliticus Child Watching the Birth of the New Man - Dali.jpg,Outdoors,Private Domain,,Chores,Cycle of life,Social Consciousness,the Mind,Hope,Love,New Directions,,,,,,,
Girl with Death Mask - Kahlo.jpg,Commoner,Cycle of life,Spirituality,Sadness,Isolation,Festivity,Community/Family,,,,,,,,,,
Golconda - Magritte.jpg,Outdoors,Public Domain,Urban Realm,,Social Consciousness,the Mind,Deconstruction,Harmony,,,,,,,,,
Grandma Moorheads aromatic cuisine - Carrington.jpg,Indoors,Private Domain,,Dining,Chores,Community/Family,Social Consciousness,Spirituality,Gender,the Mind,,,,,,,
Hand with Reflecting Mirror - Escher.jpg,Other/Self/Personal,the Mind,Deconstruction,,,,,,,,,,,,,,
Harlequin's Carnival - Miro.jpg,Indoors,Public Domain,,Recreation,Festivity/Celebration,the Mind,Beauty,Joy,Lively,Harmony,,,,,,,
Landscape - Breton.jpg,Indoors,Private Domain,,Festivity/Celebration,the Mind,Lively,,,,,,,,,,,
Mama Papa is Wounded - Tanguy.jpg,Outdoors,Private Domain,Rural Realm,,Community/Family,the Mind,Vacancy,Uneasiness,Sadness,,,,,,,,
Man in a Bowler Hat - Magritte.jpg,Commoner,Detachment,Vacancy,the Mind,Mystery,Freshness,,,,,,,,,,,
Marxism will heal the sick - Kahlo.jpg,Outdoors,Private Domain,,Communication,Government,Social Consciousness,the Mind,,,,,,,,,,
Melting Watch - Dali.jpg,Outdoors,Private Domain,,,the Mind,Mystery,Deconstruction,Color,,,,,,,,,
Metamorphosis of Narcissus - Dali.jpg,Mythological Subgenre,Outdoors,Private Domain,,Rest/Liesure,Conflict,the Mind,Deconstruction,Lively,Drama,,,,,,,
Not to be Reproduced - Magritte.jpg,Indoors,Private Domain,,Conflict,the Mind,,,,,,,,,,,,
Persistence of Memory - Dali.jpg,Beach,,Beauty,the Mind,Mystery,New Directions,,,,,,,,,,,
Philosopher's Lamp - Magritte.jpg,Other/Self/Personal,Exhaustion,Strife/Pain,the Mind,Thoughtful,Science,,,,,,,,,,,
Self Portrait - Carrington.jpg,Other/Self/Personal,Thoughtful,Serious,the Mind,Independence,,,,,,,,,,,,
Swans Reflecting Elephants - Dali.jpg,Outdoors,Private Domain,Rural Realm,Rest/Liesure,the Mind,Deconstruction,Nature Interaction,,,,,,,,,,
The Anti-pope - Ernst.jpg,Outdoors,Private Domain,,Conflict,Community/Family,the Mind,Love,Sexuality,Drama,Uneasiness,,,,,,,
The Barbarians - Ernst.jpg,Outdoors,Public Domain,Rural Realm,,the Mind,Texture,Deconstruction,Uneasiness,,,,,,,,,
The Burning Giraffe - Dali.jpg,Outdoors,Private Domain,Rural Realm,Conflict,Violence,Science,Government,Social Consciousness,the Mind,Strife/Pain,Uneasiness,,,,,,
The Castle of the Pyrenees - Magritte.jpg,Sea/Ocean,,Mystery,the Mind,Deconstruction,Hope,,,,,,,,,,,
The Disintegration of the Persistence of Memory - Dali.jpg,Beach,,the Mind,New Directions,Deconstruction,Mystery,,,,,,,,,,,
The Elephant Celebes - Ernst.jpg,Outdoors,Public Domain,Rural Realm,Conflict,the Mind,Deconstruction,,,,,,,,,,,
The Giantess - Carrington.jpg,Commoner,Greatness,the Mind,Harmony,Power,,,,,,,,,,,,
The Great Masturbator - Dali.jpg,Outdoors,Private Domain,Rural Realm,Recreation,Conflict,the Mind,the Body,Drama,Sexuality,Deconstruction,Uneasiness,,,,,,
