Name,Control,Visibility,Outlines
The Graham Children - Hogarth.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Honorable Mrs Graham.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Ladies Waldegrave - Reynolds.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Lock - Fragonard.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Prearranged Flight - Fragonard.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Progress of Love The Pursuit - Fragonard.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
The Progress of Love.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
The Scale of Love- Watteau.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
The Stolen Kiss - Fragonard.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Toilet of Venus Boucher.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Triumph of Venice - Pompeo.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Triumph of Venus - Boucher.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Village Bride - Greuze.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Swing - Fragonard.jpeg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Alyonushka.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Charles IV of Spain and His Family - Goyta.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Christ on the Sea of Galilee - Delacroix.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Dido building Carthage - Turner.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Entry of the Crusaders in Constantinople - Delacroix.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Fishermen at Sea - Turner.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Hylas and the Nymphs - Waterhouse.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Jewish wedding in Morocco - Delacroix.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Knight at the Crossroads - Vasnetsov.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
La maja desnuda - Goya.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Lady Lilith - Rossetti.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Medea - Delacroix.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Modern Rome - Turner.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Saturn Devouring one of his Sons - Lucientes.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Self-portrait with Dr Arrieta - Goya.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Snow Storm - Turner.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Abbey in the Oakwood - Friedrich.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Barque of Dante - Delacroix.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Battle of Trafalgar - Turner.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Black Duchess - Goya.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Burning of the Houses of Parliament - Turner.jpg,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
The Charging Chasseur - Gericault.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Clothed Maja - Goya.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Colossus - Goya.jpg,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
The Death of Sardanapalus - Delacroix.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Desperate Man - Courbet.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Family of Infante Don Luis - Goya.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Fighting Temeraire - Turner.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Hay Wain - Constable.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Kiss - Hayez.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Lonely Tree - Friedrich.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Massacre at Chios - Delacroix.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Monk by the Sea - Friedrich.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Nightmare - Fuseli.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Ninth Wave - Aivazovsky.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Sea of Ice - Friedrich.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Second of May 1808 - Goya.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Shipwreck - Turner.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Slave Ship - Turner.jpg,Mostly Wild Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Third of May 1808 - Goya.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Watson and the Shark - Copley.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Witches' Flight - Goya.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Witches' Sabbath - Goya.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Wreckers Coast of Northumberland - Turner.jpg,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Bridal Procession on the  Hardangerfjord - Gude.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Chalk Cliffs on Rugen - Friedrich.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Lady Libert Leading the People - Delocroix.jpeg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Raft of the Medusa - Geriacault.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Wanderer above the sea of fog - Friedrich.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
A dream caused by the flight of a bee - Dal.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Apparition of Face and Fruit Dish on a Beach - Dali.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Battle of Fishes - Masson.jpg,Mostly Wild Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Christ of St John of the Cross - Dali.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Elephants - Dali.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Europe after the Rain II - Ernst.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Galatea of the Spheres - Dali.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Geopoliticus Child Watching the Birth of the New Man - Dali.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Girl with Death Mask - Kahlo.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Golconda - Magritte.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Grandma Moorheads aromatic cuisine - Carrington.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Hand with Reflecting Mirror - Escher.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Harlequin's Carnival - Miro.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Landscape - Breton.jpg,Mostly Controlled Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Mama Papa is Wounded - Tanguy.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Man in a Bowler Hat - Magritte.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Marxism will heal the sick - Kahlo.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Melting Watch - Dali.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Metamorphosis of Narcissus - Dali.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Not to be Reproduced - Magritte.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Persistence of Memory - Dali.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Philosopher's Lamp - Magritte.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Self Portrait - Carrington.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Swans Reflecting Elephants - Dali.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Anti-pope - Ernst.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Barbarians - Ernst.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Burning Giraffe - Dali.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Castle of the Pyrenees - Magritte.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Disintegration of the Persistence of Memory - Dali.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
The Elephant Celebes - Ernst.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Giantess - Carrington.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Great Masturbator - Dali.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Lovers - Magritte.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Menaced Assassin - Magritte.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Sacrament of the Last Supper - Dali.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Son of Man - Magritte.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Temptation of St Anthony - Dali.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Treachery of Images - Magritte.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Triumph of Surrealism - Ernst.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Tilled Field - Miro.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Time Transfixed - Magritte.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Tuna Fishing - Dali.jpg,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
White Crucifixion - Chagall.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Without Hope - Kahlo.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Woman Old Man and Flower - Ernst.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Portrait of Max Ernst - Carrington.jpeg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Broken Column - Kahlo.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Hallucinogenic Toreador - Dali.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Robing of the Bride - Ernst.jpeg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Random0.jpg,Random,,
Random1.jpg,Random,,
Random10.jpg,Random,,
Random11.jpg,Random,,
Random12.jpg,Random,,
Random13.jpg,Random,,
Random14.jpg,Random,,
Random15.jpg,Random,,
Random16.jpg,Random,,
Random17.jpg,Random,,
Random18.jpg,Random,,
Random19.jpg,Random,,
Random2.jpg,Random,,
Random20.jpg,Random,,
Random21.jpg,Random,,
Random22.jpg,Random,,
Random23.jpg,Random,,
Random24.jpg,Random,,
Random25.jpg,Random,,
Random26.jpg,Random,,
Random27.jpg,Random,,
Random28.jpg,Random,,
Random29.jpg,Random,,
Random3.jpg,Random,,
Random30.jpg,Random,,
Random31.jpg,Random,,
Random32.jpg,Random,,
Random33.jpg,Random,,
Random34.jpg,Random,,
Random35.jpg,Random,,
Random36.jpg,Random,,
Random37.jpg,Random,,
Random38.jpg,Random,,
Random39.jpg,Random,,
Random4.jpg,Random,,
Random40.jpg,Random,,
Random41.jpg,Random,,
Random42.jpg,Random,,
Random43.jpg,Random,,
Random44.jpg,Random,,
Random45.jpg,Random,,
Random46.jpg,Random,,
Random47.jpg,Random,,
Random48.jpg,Random,,
Random5.jpg,Random,,
Random6.jpg,Random,,
Random7.jpg,Random,,
Random8.jpg,Random,,
Random9.jpg,Random,,
RandomShapes0.jpg,Random Shapes,,
RandomShapes1.jpg,Random Shapes,,
RandomShapes10.jpg,Random Shapes,,
RandomShapes11.jpg,Random Shapes,,
RandomShapes12.jpg,Random Shapes,,
RandomShapes13.jpg,Random Shapes,,
RandomShapes14.jpg,Random Shapes,,
RandomShapes15.jpg,Random Shapes,,
RandomShapes16.jpg,Random Shapes,,
RandomShapes17.jpg,Random Shapes,,
RandomShapes18.jpg,Random Shapes,,
RandomShapes19.jpg,Random Shapes,,
RandomShapes2.jpg,Random Shapes,,
RandomShapes20.jpg,Random Shapes,,
RandomShapes21.jpg,Random Shapes,,
RandomShapes22.jpg,Random Shapes,,
RandomShapes23.jpg,Random Shapes,,
RandomShapes24.jpg,Random Shapes,,
RandomShapes25.jpg,Random Shapes,,
RandomShapes26.jpg,Random Shapes,,
RandomShapes27.jpg,Random Shapes,,
RandomShapes28.jpg,Random Shapes,,
RandomShapes29.jpg,Random Shapes,,
RandomShapes3.jpg,Random Shapes,,
RandomShapes30.jpg,Random Shapes,,
RandomShapes31.jpg,Random Shapes,,
RandomShapes32.jpg,Random Shapes,,
RandomShapes33.jpg,Random Shapes,,
RandomShapes34.jpg,Random Shapes,,
RandomShapes35.jpg,Random Shapes,,
RandomShapes36.jpg,Random Shapes,,
RandomShapes37.jpg,Random Shapes,,
RandomShapes38.jpg,Random Shapes,,
RandomShapes39.jpg,Random Shapes,,
RandomShapes4.jpg,Random Shapes,,
RandomShapes40.jpg,Random Shapes,,
RandomShapes41.jpg,Random Shapes,,
RandomShapes42.jpg,Random Shapes,,
RandomShapes43.jpg,Random Shapes,,
RandomShapes44.jpg,Random Shapes,,
RandomShapes45.jpg,Random Shapes,,
RandomShapes46.jpg,Random Shapes,,
RandomShapes47.jpg,Random Shapes,,
RandomShapes48.jpg,Random Shapes,,
RandomShapes5.jpg,Random Shapes,,
RandomShapes6.jpg,Random Shapes,,
RandomShapes7.jpg,Random Shapes,,
RandomShapes8.jpg,Random Shapes,,
RandomShapes9.jpg,Random Shapes,,
uniform0.jpg,Uniform,,
uniform1.jpg,Uniform,,
uniform10.jpg,Uniform,,
uniform11.jpg,Uniform,,
uniform12.jpg,Uniform,,
uniform13.jpg,Uniform,,
uniform14.jpg,Uniform,,
uniform15.jpg,Uniform,,
uniform16.jpg,Uniform,,
uniform17.jpg,Uniform,,
uniform18.jpg,Uniform,,
uniform19.jpg,Uniform,,
uniform2.jpg,Uniform,,
uniform20.jpg,Uniform,,
uniform21.jpg,Uniform,,
uniform22.jpg,Uniform,,
uniform23.jpg,Uniform,,
uniform24.jpg,Uniform,,
uniform25.jpg,Uniform,,
uniform26.jpg,Uniform,,
uniform27.jpg,Uniform,,
uniform28.jpg,Uniform,,
uniform29.jpg,Uniform,,
uniform3.jpg,Uniform,,
uniform30.jpg,Uniform,,
uniform31.jpg,Uniform,,
uniform32.jpg,Uniform,,
uniform33.jpg,Uniform,,
uniform34.jpg,Uniform,,
uniform35.jpg,Uniform,,
uniform37.jpg,Uniform,,
uniform38.jpg,Uniform,,
uniform39.jpg,Uniform,,
uniform4.jpg,Uniform,,
uniform40.jpg,Uniform,,
uniform41.jpg,Uniform,,
uniform42.jpg,Uniform,,
uniform43.jpg,Uniform,,
uniform44.jpg,Uniform,,
uniform45.jpg,Uniform,,
uniform46.jpg,Uniform,,
uniform47.jpg,Uniform,,
uniform48.jpg,Uniform,,
uniform49.jpg,Uniform,,
uniform5.jpg,Uniform,,
uniform6.jpg,Uniform,,
uniform7.jpg,Uniform,,
uniform8.jpg,Uniform,,
uniform9.jpg,Uniform,,
