Name,Depth,Contrast,Value,Lines
Philosopher's Lamp - Magritte.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
Self Portrait - Carrington.jpg,Normal/Regular Depth,Normal Contrast,Light Value,Distinct Lines
Swans Reflecting Elephants - Dali.jpg,Deep Depth,High Contrast,Balanced Value,Distinct Lines
The Anti-pope - Ernst.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
The Barbarians - Ernst.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
The Burning Giraffe - Dali.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
The Castle of the Pyrenees - Magritte.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
The Disintegration of the Persistence of Memory - Dali.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
The Elephant Celebes - Ernst.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
The Giantess - Carrington.jpg,Shallow Depth,Normal Contrast,Balanced Value,Intermediate Lines
The Great Masturbator - Dali.jpg,Normal/Regular Depth,High Contrast,Light Value,Distinct Lines
The Lovers - Magritte.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
The Menaced Assassin - Magritte.jpg,Normal/Regular Depth,Normal Contrast,Light Value,Distinct Lines
The Sacrament of the Last Supper - Dali.jpg,Deep Depth,High Contrast,Balanced Value,Distinct Lines
The Son of Man - Magritte.jpg,Shallow Depth,Low Contrast,Light Value,Distinct Lines
The Temptation of St Anthony - Dali.jpg,Deep Depth,High Contrast,Balanced Value,Distinct Lines
The Treachery of Images - Magritte.jpg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
The Triumph of Surrealism - Ernst.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
Tilled Field - Miro.jpg,Flat Depth,High Contrast,Balanced Value,Distinct Lines
Time Transfixed - Magritte.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
Tuna Fishing - Dali.jpg,Deep Depth,High Contrast,Balanced Value,Intermediate Lines
White Crucifixion - Chagall.jpg,Flat Depth,Normal Contrast,Light Value,Distinct Lines
Without Hope - Kahlo.jpg,Deep Depth,Normal Contrast,Light Value,Distinct Lines
Woman Old Man and Flower - Ernst.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
Portrait of Max Ernst - Carrington.jpeg,Deep Depth,Low Contrast,Light Value,Intermediate Lines
The Broken Column - Kahlo.jpeg,Deep Depth,Normal Contrast,Light Value,Distinct Lines
The Hallucinogenic Toreador - Dali.jpeg,Normal/Regular Depth,High Contrast,Light Value,Intermediate Lines
The Robing of the Bride - Ernst.jpeg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Random0.jpg,Random,,,
Random1.jpg,Random,,,
Random10.jpg,Random,,,
Random11.jpg,Random,,,
Random12.jpg,Random,,,
Random13.jpg,Random,,,
Random14.jpg,Random,,,
Random15.jpg,Random,,,
Random16.jpg,Random,,,
Random17.jpg,Random,,,
Random18.jpg,Random,,,
Random19.jpg,Random,,,
Random2.jpg,Random,,,
Random20.jpg,Random,,,
Random21.jpg,Random,,,
Random22.jpg,Random,,,
Random23.jpg,Random,,,
Random24.jpg,Random,,,
Random25.jpg,Random,,,
Random26.jpg,Random,,,
Random27.jpg,Random,,,
Random28.jpg,Random,,,
Random29.jpg,Random,,,
Random3.jpg,Random,,,
Random30.jpg,Random,,,
Random31.jpg,Random,,,
Random32.jpg,Random,,,
Random33.jpg,Random,,,
Random34.jpg,Random,,,
Random35.jpg,Random,,,
Random36.jpg,Random,,,
Random37.jpg,Random,,,
Random38.jpg,Random,,,
Random39.jpg,Random,,,
Random4.jpg,Random,,,
Random40.jpg,Random,,,
Random41.jpg,Random,,,
Random42.jpg,Random,,,
Random43.jpg,Random,,,
Random44.jpg,Random,,,
Random45.jpg,Random,,,
Random46.jpg,Random,,,
Random47.jpg,Random,,,
Random48.jpg,Random,,,
Random5.jpg,Random,,,
Random6.jpg,Random,,,
Random7.jpg,Random,,,
Random8.jpg,Random,,,
Random9.jpg,Random,,,
RandomShapes0.jpg,Random Shapes,,,
RandomShapes1.jpg,Random Shapes,,,
RandomShapes10.jpg,Random Shapes,,,
RandomShapes11.jpg,Random Shapes,,,
RandomShapes12.jpg,Random Shapes,,,
RandomShapes13.jpg,Random Shapes,,,
RandomShapes14.jpg,Random Shapes,,,
RandomShapes15.jpg,Random Shapes,,,
RandomShapes16.jpg,Random Shapes,,,
RandomShapes17.jpg,Random Shapes,,,
RandomShapes18.jpg,Random Shapes,,,
RandomShapes19.jpg,Random Shapes,,,
RandomShapes2.jpg,Random Shapes,,,
RandomShapes20.jpg,Random Shapes,,,
RandomShapes21.jpg,Random Shapes,,,
RandomShapes22.jpg,Random Shapes,,,
RandomShapes23.jpg,Random Shapes,,,
RandomShapes24.jpg,Random Shapes,,,
RandomShapes25.jpg,Random Shapes,,,
RandomShapes26.jpg,Random Shapes,,,
RandomShapes27.jpg,Random Shapes,,,
RandomShapes28.jpg,Random Shapes,,,
RandomShapes29.jpg,Random Shapes,,,
RandomShapes3.jpg,Random Shapes,,,
RandomShapes30.jpg,Random Shapes,,,
RandomShapes31.jpg,Random Shapes,,,
RandomShapes32.jpg,Random Shapes,,,
RandomShapes33.jpg,Random Shapes,,,
RandomShapes34.jpg,Random Shapes,,,
RandomShapes35.jpg,Random Shapes,,,
RandomShapes36.jpg,Random Shapes,,,
RandomShapes37.jpg,Random Shapes,,,
RandomShapes38.jpg,Random Shapes,,,
RandomShapes39.jpg,Random Shapes,,,
RandomShapes4.jpg,Random Shapes,,,
RandomShapes40.jpg,Random Shapes,,,
RandomShapes41.jpg,Random Shapes,,,
RandomShapes42.jpg,Random Shapes,,,
RandomShapes43.jpg,Random Shapes,,,
RandomShapes44.jpg,Random Shapes,,,
RandomShapes45.jpg,Random Shapes,,,
RandomShapes46.jpg,Random Shapes,,,
RandomShapes47.jpg,Random Shapes,,,
RandomShapes48.jpg,Random Shapes,,,
RandomShapes5.jpg,Random Shapes,,,
RandomShapes6.jpg,Random Shapes,,,
RandomShapes7.jpg,Random Shapes,,,
RandomShapes8.jpg,Random Shapes,,,
RandomShapes9.jpg,Random Shapes,,,
uniform0.jpg,Uniform,,,
uniform1.jpg,Uniform,,,
uniform10.jpg,Uniform,,,
uniform11.jpg,Uniform,,,
uniform12.jpg,Uniform,,,
uniform13.jpg,Uniform,,,
uniform14.jpg,Uniform,,,
uniform15.jpg,Uniform,,,
uniform16.jpg,Uniform,,,
uniform17.jpg,Uniform,,,
uniform18.jpg,Uniform,,,
uniform19.jpg,Uniform,,,
uniform2.jpg,Uniform,,,
uniform20.jpg,Uniform,,,
uniform21.jpg,Uniform,,,
uniform22.jpg,Uniform,,,
uniform23.jpg,Uniform,,,
uniform24.jpg,Uniform,,,
uniform25.jpg,Uniform,,,
uniform26.jpg,Uniform,,,
uniform27.jpg,Uniform,,,
uniform28.jpg,Uniform,,,
uniform29.jpg,Uniform,,,
uniform3.jpg,Uniform,,,
uniform30.jpg,Uniform,,,
uniform31.jpg,Uniform,,,
uniform32.jpg,Uniform,,,
uniform33.jpg,Uniform,,,
uniform34.jpg,Uniform,,,
uniform35.jpg,Uniform,,,
uniform37.jpg,Uniform,,,
uniform38.jpg,Uniform,,,
uniform39.jpg,Uniform,,,
uniform4.jpg,Uniform,,,
uniform40.jpg,Uniform,,,
uniform41.jpg,Uniform,,,
uniform42.jpg,Uniform,,,
uniform43.jpg,Uniform,,,
uniform44.jpg,Uniform,,,
uniform45.jpg,Uniform,,,
uniform46.jpg,Uniform,,,
uniform47.jpg,Uniform,,,
uniform48.jpg,Uniform,,,
uniform49.jpg,Uniform,,,
uniform5.jpg,Uniform,,,
uniform6.jpg,Uniform,,,
uniform7.jpg,Uniform,,,
uniform8.jpg,Uniform,,,
uniform9.jpg,Uniform,,,
