Name,Abstraction Level,Genre,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
When will you marry - Gauguin.jpg,Semi-Abstract,Genre,Outdoors,Private Domain,Rural Realm,Rest/Liesure,Communication,Community/Family,Social Consciousness,Occupation of Time,Color,Primitivism,Cross Culturalism,Gender,,,,
Self-portrait dedicated to Paul Gauguin - van Gogh.jpeg,Semi-Abstract,Portraiture,Other/Self/Personal,Thoughtful,Dedication,Color,Texture,,,,,,,,,,,
Still Life with Apples - Cezanne.jpeg,Semi-Abstract,Still life,Food,Furniture,,,,,,,,,,,,,,
A Burial at Ornans - Courbet.jpg,Naturalistic,Genre,Outdoors,Public Domain,Rural Realm,Festivity/Celebration,Religious Action,Spirituality,Community/Family,Cycle of life,Ugly,Loss,,,,,,
A Loge at the Theater des Italiens - Gonzales.jpg,Naturalistic,Genre,Indoors,Public Domain,Urban Realm,Recreation,Occupation of Time,Detachment,Vacancy,Intimacy,,,,,,,,
Autum Day - Levitan.jpg,Naturalistic,Landscape,Forest,Human(s),Sadness,Nature Interaction,,,,,,,,,,,,
Autumn Bouquet - Repin.jpg,Naturalistic,Portraiture,Commoner,Exhaustion,Nature Interaction,Intimacy,Hope,,,,,,,,,,,
Bar at the Folies-Bergere - Manet.jpg,Naturalistic,Genre,Indoors,Public Domain,Urban Realm,Work,Social Consciousness,Occupation of Time,Morality,Gender,Harmony,Sexuality,,,,,,
Barge Haulers on the Volga - Repin.jpg,Naturalistic,Genre,Outdoors,Public Domain,Rural Realm,Work,Conflict,Social Consciousness,Ugly,Exhaustion,Nature Interaction,Drama,,,,,,
Beach at Scheveningen in Stormy Weather - van Gogh.jpg,Organically Abstract,Genre,Outdoors,Public Domain,Rural Realm,Work,Power,Texture,Nature Interaction,Ugly,Uneasiness,,,,,,,
Corner of a Cafe-Concert - Manet.jpg,Naturalistic,Genre,Indoors,Public Domain,Urban Realm,Work,Recreation,Occupation of Time,Texture,Lively,Joy,,,,,,,
Emile Zola - Manet.jpg,Naturalistic,Portraiture,Thinker/Artist,Status,Genius,Dedication,Cross Culturalism,Confidence,,,,,,,,,,
Family Portrait - Ostade.jpg,Naturalistic,Portraiture,Other/Self/Personal,Joy,Youth,Community/Family,Comfort,,,,,,,,,,,
Femme nu Couchee - Courbet.jpg,Naturalistic,Genre,Indoors,Private Domain,,Rest/Liesure,the Body,Comfort,Beauty,Elegance,,,,,,,,
Golden Autumn - Levitan.jpg,Semi-Abstract,Landscape,Forest,,Beauty,Bountiful/Giving,New Directions,Ideal,,,,,,,,,,
Hawning Apprentice - Mankacsy.jpg,Naturalistic,Portraiture,Commoner,Exhaustion,,Drama,Casual,,,,,,,,,,,
Hunters at Rest - Perov.jpg,Naturalistic,Genre,Outdoors,Private Domain,Rural Realm,Rest/Liesure,Recreation,Communication,Cycle of life,Occupation of Time,Drama,Nature Interaction,Joy,Comfort,Lively,,,
In the Conservatory - Manet.jpg,Naturalistic,Genre,Outdoors,Private Domain,,Recreation,Rest/Liesure,Occupation of Time,Detachment,Intimacy,Casual,,,,,,,
Ivan the Terrible and His Son Ivan - Repin.jpg,Naturalistic,History Genre,History Subgenre,Indoors,Private Domain,Urban Realm,Violence,Conflict,,Cycle of life,Government,Love,Morality,Drama,Ugly,Fear,Sadness,
Jewess with Oranges - Gierymski.jpg,Naturalistic,Portraiture,Commoner,Strife/Pain,Exhaustion,Sadness,Texture,Ugly,,,,,,,,,,
L'Angelus - Millet.jpg,Naturalistic,Genre,Outdoors,Private Domain,Rural Realm,Work,Religious Action,Spirituality,Community/Family,Occupation of Time,Nature Interaction,Intimacy,Loss,,,,,
La rencontre - Courbet.jpg,Naturalistic,History Genre,History Subgenre,Outdoors,Private Domain,Rural Realm,Communication,Chores,Work,Occupation of Time,Casual,Harmony,Freshness,Joy,,,,
Les Demoiselles du bord de la Seine - Courbet.jpg,Naturalistic,Genre,Outdoors,Private Domain,Rural Realm,Rest/Liesure,Recreation,Occupation of Time,Sensual,Nature Interaction,Comfort,,,,,,,
Morning in a Pine Forest - Shishkin.jpg,Naturalistic,Genre,Outdoors,Private Domain,Rural Realm,Recreation,Community/Family,Beauty,Nature Interaction,Peace,Joy,Harmony,,,,,,
Music in the Tuileries Gardens - Manet.jpg,Naturalistic,Genre,Outdoors,Public Domain,Rural Realm,Recreation,Rest/Liesure,Festivity/Celebration,Community/Family,Occupation of Time,Harmony,Comfort,,,,,,
Olympia - Manet.jpg,Naturalistic,Portraiture,Commoner,Beauty/Ideal,Greatness,Confidence,Sensual,Sexuality,Elegance,Comfort,,,,,,,,
Ploughing in the Nivernais - Bonheur.jpg,Naturalistic,Landscape,Farm/grassland,Animals,Beauty,Bountiful/Giving,Freshness,Ideal,,,,,,,,,,
Plum Brandy - Manet.jpg,Naturalistic,Genre,Indoors,Public Domain,Urban Realm,Rest/Liesure,Texture,Occupation of Time,the Mind,Detachment,Casual,Comfort,Freshness,,,,,
Portrait of an Unknown Woman - Kramskoi.jpg,Naturalistic,Portraiture,Other/Self/Personal,Beauty/Ideal,Serious,Confidence,Thoughtful,,,,,,,,,,,
Science and Charity - Picasso.jpg,Naturalistic,Genre,Indoors,Private Domain,Urban Realm,Rest/Liesure,Work,,Science,Social Consciousness,the Body,Morality,Ugly,Casual,,,,
Sheep in the Highlands - Bonheur.jpg,Naturalistic,Landscape,Mountain,Animals,Peaceful,Beauty,Nature Interaction,Ideal,Harmony,Peace,,,,,,,,
Skull of a Skeleton with Burning Cigarette - van Gogh.jpg,Semi-Abstract,Portraiture,Other/Self/Personal,Science,the Body,Uneasiness,,,,,,,,,,,,
Taking a Snow Town - Surikov.jpg,Naturalistic,History Genre,History Subgenre,Outdoors,Public Domain,Rural Realm,Recreation,Festivity/Celebration,Violence,Community/Family,Beauty,Occupation of Time,Joy,Nature Interaction,Drama,,,
The Apotheosis of War - Vereschchagin.jpg,Naturalistic,Genre,Outdoors,Public Domain,Rural Realm,,Cycle of life,Government,Morality,Ugly,Uneasiness,Freshness,,,,,,
The Daughters of Edward Darley Boit.jpg,Naturalistic,Portraiture,Aristocracy,Status,Youth,Detachment,Uneasiness,Vacancy,Cycle of life,,,,,,,,,
The Fifer - Manet.jpg,Naturalistic,Portraiture,Commoner,Youth,Dedication,Color,Warm,,,,,,,,,,,
The First Mourning - Bouguereau.jpg,Naturalistic,History Genre,Religious Subgenre,Outdoors,Private Domain,Rural Realm,Conflict,,Spirituality,Cycle of life,Drama,Ugly,Sadness,,,,,
The Gleaners - Millet.jpg,Naturalistic,Genre,Outdoors,Public Domain,Rural Realm,Work,Social Consciousness,Occupation of Time,Nature Interaction,Ugly,Exhaustion,Revolution,,,,,,
The Little Cavaliers - Manet.jpg,Naturalistic,Genre,Outdoors,Public Domain,Rural Realm,Recreation,Communication,Community/Family,Government,Occupation of Time,Casual,Harmony,,,,,,
The Morning of the Streltsy Execution - Surikov.jpg,Naturalistic,History Genre,History Subgenre,Outdoors,Public Domain,Urban Realm,Conflict,Communication,,Government,Social Consciousness,Power,Drama,Ugly,Revolution,Sadness,Uneasiness,
The Painter's Studio - Courbet.jpg,Naturalistic,History Genre,Allegorical Subgenre,Indoors,Public Domain,Urban Realm,Recreation,Work,Communication,Community/Family,Occupation of Time,Harmony,,,,,,
The Railway - Manet.jpg,Naturalistic,Genre,Outdoors,Public Domain,Urban Realm,Rest/Liesure,Detachment,Vacancy,Casual,Uneasiness,,,,,,,,
The Rooks Have Come Back - Savrasov.jpg,Naturalistic,Landscape,Forest,Buildings,Peaceful,Nature Interaction,New Directions,Lively,,,,,,,,,,
The Violoncellist - Courbet.jpg,Naturalistic,Portraiture,Other/Self/Personal,Beauty/Ideal,Sensual,Harmony,Elegance,Drama,,,,,,,,,,
The Wheat Sifters - Courbet.jpg,Naturalistic,Genre,Indoors,Public Domain,Rural Realm,Work,Rest/Liesure,Community/Family,Social Consciousness,Occupation of Time,Ugly,Casual,Detachment,Exhaustion,,,,
Valley of the Loue - Courbet.jpg,Naturalistic,Landscape,Mountain,Buildings,Beauty,Mystery,Nature Interaction,New Directions,,,,,,,,,,
Whistler's Mother - Whistler.jpg,Naturalistic,Portraiture,Other/Self/Personal,Exhaustion,Detachment,Vacancy,,,,,,,,,,,,
Luncheon on the Grass - Manet.jpeg,Semi-Abstract,Genre,Outdoors,Private Domain,Rural Realm,Recreation,Rest/Liesure,the Body,Beauty,Occupation of Time,Confidence,Sexuality,Gender,Nature Interaction,Casual,Comfort,Intimacy,
Silent Monastary - Levitan.jpeg,Naturalistic,Landscape,Forest,Buildings,Peaceful,Mystery,Beauty,Harmony,Ideal,,,,,,,,,
The Potato Eaters - van Gogh.jpeg,Semi-Abstract,Genre,Indoors,Private Domain,Rural Realm,Rest/Liesure,Dining,Communication,Community/Family,Social Consciousness,Occupation of Time,Ugly,Exhaustion,Harmony,,,,
The Shepherdess - Bouguereau.jpeg,Naturalistic,Portraiture,Commoner,Beauty/Ideal,Dedication,Strength,Nature Interaction,Elegance,Peace,Thoughtful,,,,,,,,
The Stone Breakers - Courbet.jpeg,Naturalistic,Genre,Outdoors,Private Domain,Rural Realm,Work,Social Consciousness,Community/Family,Occupation of Time,Ugly,Nature Interaction,Exhaustion,,,,,,
A goldsmith in his shop - Christus.jpg,Naturalistic,Genre,Indoors,Public Domain,Urban Realm,Work,Occupation of Time,Casual,Harmony,,,,,,,,,
Adoration of the Kings - van der Goes.jpg,Naturalistic,History Genre,Religious Subgenre,Outdoors,Public Domain,Rural Realm,Festivity/Celebration,Religious Action,Spirituality,Cycle of life,Beauty,Greatness,Harmony,,,,,
Adoration of the Magi - Botticelli.jpg,Naturalistic,History Genre,Religious Subgenre,Outdoors,Public Domain,Rural Realm,Festivity/Celebration,Religious Action,Communication,Spirituality,Cycle of life,Beauty,Morality,Greatness,,,,
Arnolfini Portrait - van Eyck.jpg,Naturalistic,Portraiture,Commoner,Status,Dedication,Vacancy,Peace,,,,,,,,,,,
Baptism of Christ - Verrocchio.jpg,Naturalistic,History Genre,Religious Subgenre,Outdoors,Private Domain,Rural Realm,Religious Action,Spirituality,Cycle of life,Morality,Greatness,,,,,,,
Birth of the Virgin - Ghirlandaio.jpg,Naturalistic,History Genre,Religious Subgenre,Indoors,Public Domain,Urban Realm,Rest/Liesure,Religious Action,Festivity/Celebration,,Spirituality,Cycle of life,Love,Morality,Joy,,,
Calumny of Apelles - Botticelli.jpg,Naturalistic,History Genre,Literary Subgenre,Indoors,Public Domain,Urban Realm,Violence,Conflict,Communication,Morality,Drama,Antiquity,,,,,,
Christ and the Virgin - Campin.jpg,Semi-Abstract,History Genre,Religious Subgenre,Outdoors,Private Domain,,Religious Action,Spirituality,Color,Warm,Greatness,,,,,,,
Christ Giving the Keys of the Kingdom to St. Peter - Perugino.jpg,Naturalistic,History Genre,Religious Subgenre,Outdoors,Public Domain,Urban Realm,Communication,Festivity/Celebration,Spirituality,Morality,Harmony,Greatness,,,,,,
Crucifixion with the Virgin and St. John - van der weyden.jpg,Naturalistic,History Genre,Religious Subgenre,Outdoors,Private Domain,,Religious Action,,Violence,Spirituality,Morality,Loss,Sadness,Strife/Pain,,,,
Danae - Correggio.jpg,Naturalistic,History Genre,Mythological Subgenre,Indoors,Private Domain,Urban Realm,Rest/Liesure,Youth,Sexuality,Comfort,Joy,,,,,,,
Death of the Virgin - Mantegna.jpg,Naturalistic,History Genre,Religious Subgenre,Indoors,Public Domain,Urban Realm,Conflict,,Spirituality,Cycle of life,Drama,Loss,Sadness,,,,,
La Primavera (Spring) - Botticelli.jpg,Naturalistic,History Genre,Allegorical Subgenre,Outdoors,Public Domain,Rural Realm,Festivity/Celebration,Drama,New Directions,Bountiful/Giving,Community/Family,Nature Interaction,Beauty,,,,,
Lamentation of Christ - Mantegna.jpg,Naturalistic,History Genre,Religious Subgenre,Indoors,Private Domain,,Conflict,,Spirituality,Strife/Pain,Hope,Sadness,,,,,,
Madonna and Child - Crivelli.jpg,Naturalistic,Portraiture,Religious,Greatness,Dedication,Elegance,,,,,,,,,,,,
Madonna and Child with Two Angels - Fra Filippo Lippi.jpg,Naturalistic,Portraiture,Religious,Warm,Dedication,Beauty/Ideal,Greatness,Youth,Lively,,,,,,,,,
Madonna in the Church - van Eyck.jpg,Naturalistic,History Genre,Religious Subgenre,Indoors,Private Domain,Urban Realm,Chores,Spirituality,Greatness,Harmony,,,,,,,,
Madonna of the Meadow - Raphael.jpg,Naturalistic,History Genre,Religious Subgenre,Outdoors,Private Domain,Rural Realm,Recreation,Rest/Liesure,Community/Family,Spirituality,Love,Harmony,Intimacy,,,,,
Miracle of the Relic of the Cross at the Rialto Bridge - Carpaccio.jpg,Naturalistic,History Genre,Religious Subgenre,Outdoors,Public Domain,Urban Realm,Festivity/Celebration,Work,Chores,Spirituality,Morality,Lively,Greatness,,,,,
Mona Lisa - da Vinci.jpg,Naturalistic,Portraiture,Aristocracy,Beauty/Ideal,Harmony,Warm,Elegance,,,,,,,,,,,
Pastoral Concert - Titian.jpg,Naturalistic,Genre,Outdoors,Private Domain,Rural Realm,Recreation,Rest/Liesure,Communication,Occupation of Time,Harmony,Intimacy,Joy,,,,,,
Pieta - Bellini.jpg,Naturalistic,History Genre,Religious Subgenre,Outdoors,Private Domain,,,Spirituality,Cycle of life,Loss,Drama,Sadness,Strife/Pain,,,,,
Pieta of Villeneuve les avignon.jpg,Semi-Abstract,History Genre,Religious Subgenre,Outdoors,Private Domain,Rural Realm,Religious Action,Conflict,,Spirituality,Cycle of life,Color,Sadness,Beauty,Loss,,,
Portrait of a Man with a Medal of Cosimo il Vecchio de' Medici - Botticelli.jpg,Naturalistic,Portraiture,Aristocracy,Confidence,Status,,,,,,,,,,,,,
Portrait of a Young Girl - Christus.jpg,Naturalistic,Portraiture,Aristocracy,Status,Beauty/Ideal,Serious,Elegance,Harmony,,,,,,,,,,
Portrait of a Young Woman - Botticelli.jpg,Naturalistic,Portraiture,Aristocracy,Status,Casual,Gender,Dedication,Harmony,,,,,,,,,,
Portrait of Eleonora Gonzaga - Titian.jpg,Naturalistic,Portraiture,Aristocracy,Status,Beauty/Ideal,Greatness,Serious,Elegance,Gender,,,,,,,,,
Portrait of Francesco Maria Della Rovere - Titian.jpg,Naturalistic,Portraiture,Aristocracy,Status,Power,Greatness,Serious,Strength,Confidence,Harmony,,,,,,,,
Portrait of Pope Julius II - Raphael.jpg,Naturalistic,Portraiture,Religious,Thoughtful,Intimacy,Greatness,,,,,,,,,,,,
Portrait of Sultan Mehmed II - Bellini.jpg,Semi-Abstract,Portraiture,Royalty,Status,Cross Culturalism,Detachment,Greatness,,,,,,,,,,,
Saint Luke Painting the Madonna - Gossaert.jpg,Semi-Abstract,History Genre,Religious Subgenre,Indoors,Private Domain,,Work,Spirituality,Greatness,Drama,,,,,,,,
Saint Sebastian - Mentegna.jpg,Naturalistic,History Genre,Religious Subgenre,Outdoors,Public Domain,Urban Realm,Violence,Conflict,Spirituality,Morality,the Body,Strife/Pain,Strength,Greatness,,,,
School of Athens - Raphael.jpg,Naturalistic,Genre,Indoors,Public Domain,Urban Realm,Work,Education,Festivity/Celebration,Communication,Community/Family,Science,Antiquity,Harmony,Lively,Drama,Greatness,,
Self Portrait - Durer.jpg,Naturalistic,Portraiture,Other/Self/Personal,Vacancy,Harmony,Serious,Beauty/Ideal,,,,,,,,,,,
Sleeping Venus - Giorgione.jpg,Naturalistic,Genre,Outdoors,Private Domain,Rural Realm,Rest/Liesure,the Body,Beauty,Occupation of Time,Harmony,Sensual,Elegance,Comfort,,,,,
The Ambassadors - Holbein.jpg,Naturalistic,Portraiture,Government/Military,Status,Genius,Dedication,Science,Uneasiness,,,,,,,,,,
The Annunciation - Fra Angelico.jpg,Naturalistic,History Genre,Religious Subgenre,Outdoors,Private Domain,,Religious Action,Communication,Spirituality,Greatness,Harmony,,,,,,,
The Birth of Venus - Botticelli.jpg,Naturalistic,History Genre,Mythological Subgenre,Outdoors,Private Domain,Rural Realm,Festivity/Celebration,the Body,Beauty,Nature Interaction,Antiquity,Elegance,Sensual,Harmony,Drama,Lively,,
The Creation of Adam - Michelangelo.jpg,Naturalistic,History Genre,Religious Subgenre,Outdoors,Private Domain,Rural Realm,Festivity/Celebration,Spirituality,Drama,the Body,Cycle of life,,,,,,,
The Crowning wiht Thorns - Titian.jpg,Naturalistic,History Genre,Religious Subgenre,Indoors,Public Domain,,Violence,Conflict,Spirituality,Antiquity,Strife/Pain,Drama,,,,,,
The Damned Cast into Hell - Signorelli.jpg,Semi-Abstract,History Genre,Religious Subgenre,Outdoors,Public Domain,,Violence,Conflict,Religious Action,Work,Spirituality,Cycle of life,Social Consciousness,Morality,Ugly,Lively,Drama,Uneasiness
The Last Judgement - Michelangelo.jpg,Semi-Abstract,History Genre,Religious Subgenre,Outdoors,Public Domain,,Religious Action,Festivity/Celebration,Violence,Conflict,Spirituality,Cycle of life,Social Consciousness,Morality,Drama,Lively,,
The Last Supper - da Vinci.jpg,Naturalistic,History Genre,Religious Subgenre,Indoors,Private Domain,Rural Realm,Dining,Festivity/Celebration,Communication,Conflict,Spirituality,Morality,Harmony,,,,,
The Sistine Madonna - Raphael.jpg,Naturalistic,History Genre,Religious Subgenre,Outdoors,Private Domain,,Festivity/Celebration,Spirituality,Greatness,,,,,,,,,
The Tempest - Giorgione.jpg,Naturalistic,Genre,Outdoors,Private Domain,Urban Realm,Rest/Liesure,Love,Sexuality,,,,,,,,,,
The tower of babel - Bruegel.jpg,Naturalistic,Landscape,City,Human(s),Morality,Conflict,Uneasiness,,,,,,,,,,,
The virgin and child with saint and donor - david.jpg,Naturalistic,History Genre,Religious Subgenre,Outdoors,Private Domain,Urban Realm,Rest/Liesure,Religious Action,Communication,Community/Family,Spirituality,Harmony,Greatness,,,,,
Three Philosophers - Giorgione.jpg,Naturalistic,Genre,Outdoors,Private Domain,Rural Realm,Rest/Liesure,Education,Communication,Chores,Cycle of life,Science,New Directions,Mystery,Harmony,Dedication,,,
Two Witches - Grien.jpg,Naturalistic,Genre,Outdoors,Private Domain,Rural Realm,Work,Religious Action,Spirituality,the Body,Morality,Sexuality,Gender,Drama,Harmony,Discipline,,,
Archduchess Marie Antionette Queen of France - LeBrun.jpg,Naturalistic,Portraiture,Royalty,Status,Power,Beauty/Ideal,Greatness,Harmony,Elegance,,,,,,,,,
Boy with a Spinning Top - Chardin.jpg,Naturalistic,Genre,Indoors,Private Domain,Urban Realm,Recreation,Beauty,Occupation of Time,Youth,Joy,,,,,,,,
Charles III Dining Before the Court - Prado.jpg,Naturalistic,Genre,Indoors,Public Domain,Urban Realm,Recreation,Dining,Patriotism,Government,Occupation of Time,Love,Lively,Harmony,Abundance,,,,
Cupid and Psyche - West.jpg,Naturalistic,Genre,Outdoors,Private Domain,Rural Realm,Rest/Liesure,Community/Family,Social Consciousness,the Body,Beauty,Love,Drama,Youth,Intimacy,,,,
Diana after a bath - Boucher.jpg,Naturalistic,Genre,Outdoors,Private Domain,Rural Realm,Rest/Liesure,Chores,Communication,the Body,Beauty,Occupation of Time,Sensual,Nature Interaction,Comfort,Harmony,Abundance,,
Diana After the Hunt - Boucher.jpg,Naturalistic,Genre,Outdoors,Private Domain,Rural Realm,Rest/Liesure,Chores,Communication,the Body,Beauty,Occupation of Time,Nature Interaction,Joy,Sensual,Elegance,Abundance,Harmony,Comfort
Dresden - Bellotto.jpg,Naturalistic,Landscape,City,Human(s),Peaceful,Greatness,Harmony,Ideal,,,,,,,,,,
Elizabeth Trubetskaya.jpg,Naturalistic,Portraiture,Aristocracy,Status,Beauty/Ideal,Joy,Mischievous,Thoughtful,,,,,,,,,,
Hercules and Omphale.jpg,Naturalistic,Genre,Outdoors,Private Domain,Rural Realm,Rest/Liesure,Communication,the Body,Love,Harmony,Joy,Intimacy,Sexuality,,,,,
La Toilette de Venus - Boucher.jpg,Naturalistic,Genre,Indoors,Private Domain,Urban Realm,Rest/Liesure,Chores,the Body,Beauty,Occupation of Time,Sensual,Sexuality,Abundance,Harmony,Freshness,Lively,,
Les Plaisirs du Bal - Watteau.jpg,Naturalistic,Genre,Outdoors,Public Domain,Rural Realm,Recreation,Rest/Liesure,Festivity/Celebration,Community/Family,Social Consciousness,Occupation of Time,Abundance,Harmony,Joy,Lively,,,
Luncheon with Ham - Lancret.jpg,Naturalistic,Genre,Outdoors,Public Domain,Rural Realm,Recreation,Dining,Festivity/Celebration,Community/Family,Social Consciousness,Occupation of Time,Abundance,Joy,Lively,,,,
Madame Bergeret - Francois.jpg,Naturalistic,Portraiture,Aristocracy,Status,Beauty/Ideal,Joy,Youth,Abundance,,,,,,,,,,
Madame de Pompadour - Boucher.jpg,Naturalistic,Portraiture,Aristocracy,Status,Beauty/Ideal,Joy,Abundance,Comfort,,,,,,,,,,
Marie Antoinette and Her Children - Le Brun.jpg,Naturalistic,Portraiture,Royalty,Status,Beauty/Ideal,Greatness,Dedication,Intimacy,Joy,Power,,,,,,,,
Marrigae a la mode - Hogarth.jpg,Naturalistic,Genre,Indoors,Public Domain,Urban Realm,Work,Chores,Communication,Community/Family,Social Consciousness,Morality,Lively,Gender,,,,,
Mr and Mrs William Hallett - Gainsborough.jpg,Naturalistic,Portraiture,Aristocracy,Status,Dedication,New Directions,Abundance,Texture,Harmony,,,,,,,,,
Mrs Richard Brinsley Sheridan - Gainsborough.jpg,Naturalistic,Portraiture,Thinker/Artist,Confidence,Abundance,Isolation,Texture,Beauty/Ideal,Thoughtful,,,,,,,,,
Mrs Sarah Siddons - Gainsborough.jpg,Naturalistic,Portraiture,Thinker/Artist,Status,Beauty/Ideal,Power,Abundance,Texture,,,,,,,,,,
Piazza San Marco - Canaletto.jpg,Naturalistic,Landscape,City,Human(s),Beauty,Ideal,Harmony,Lively,,,,,,,,,,
Pierrot - Watteau.jpg,Naturalistic,Genre,Outdoors,Public Domain,Rural Realm,Recreation,Work,Social Consciousness,Occupation of Time,Warm,Joy,,,,,,,
Pilgrimage to Cythera - Watteau.jpg,Semi-Abstract,Genre,Outdoors,Public Domain,Rural Realm,Recreation,Rest/Liesure,Festivity/Celebration,Social Consciousness,Beauty,Love,Occupation of Time,Abundance,Texture,Sexuality,Nature Interaction,Harmony,
Portrait of Louis XV - Ranc.jpg,Naturalistic,Portraiture,Royalty,Status,Greatness,Youth,Abundance,Confidence,,,,,,,,,,
Portrait of Prokofiy Demidov - Levitsky.jpg,Naturalistic,Portraiture,Aristocracy,Status,Greatness,Joy,,,,,,,,,,,,
Satan Sin and Death - Hogarth.jpg,Naturalistic,History Genre,Literary Subgenre,Outdoors,Private Domain,,Violence,Conflict,Communication,Community/Family,Morality,Sexuality,Drama,,,,,
Self Portrait with Straw Hat - Le Brun.jpg,Naturalistic,Portraiture,Other/Self/Personal,Status,Genius,Beauty/Ideal,Elegance,Gender,,,,,,,,,,
Soap Bubbles - Chardin.jpg,Naturalistic,Genre,Indoors,Private Domain,,Recreation,Beauty,Occupation of Time,Joy,Harmony,Youth,Peace,,,,,,
The Archers - Reynolds.jpg,Naturalistic,Genre,Outdoors,Private Domain,Rural Realm,Recreation,Occupation of Time,Nature Interaction,Texture,Harmony,Abundance,,,,,,,
The Banquet of Cleopatra - Tiepolo.jpg,Naturalistic,History Genre,History Subgenre,Indoors,Public Domain,Urban Realm,Recreation,Dining,Festivity/Celebration,Communication,Drama,Abundance,Sexuality,Gender,Harmony,Lively,,
The Bathers - Fragonard.jpg,Naturalistic,Genre,Outdoors,Private Domain,Rural Realm,Recreation,Chores,Festivity/Celebration,Beauty,Occupation of Time,Lively,Texture,Joy,Sexuality,Nature Interaction,Harmony,,
The Blue Boy - Gainsborough.jpg,Naturalistic,Portraiture,Aristocracy,Status,Beauty/Ideal,Youth,Mischievous,Confidence,Texture,,,,,,,,,
The Declaration of Love - de Troy.jpg,Naturalistic,Genre,Outdoors,Public Domain,Rural Realm,Recreation,Communication,Festivity/Celebration,Community/Family,Social Consciousness,Love,Drama,Harmony,Lively,,,,
The Entrance to the Grand Canal Venice - Canaletto.jpg,Naturalistic,Landscape,City,,Ideal,Lively,,,,,,,,,,,,
The Fountain of Love - Fragonard.jpg,Naturalistic,History Genre,Allegorical Subgenre,Outdoors,Private Domain,Rural Realm,Recreation,Love,Harmony,Texture,Sexuality,Antiquity,Lively,Youth,Joy,,,
The Gate of Calais - Hogarth.jpg,Naturalistic,Genre,Outdoors,Public Domain,Urban Realm,Work,Festivity/Celebration,Communication,Community/Family,Occupation of Time,Joy,,,,,,,
The Graham Children - Hogarth.jpg,Naturalistic,Portraiture,Aristocracy,Status,Beauty/Ideal,Joy,Youth,Casual,Abundance,,,,,,,,,
The Honorable Mrs Graham.jpg,Naturalistic,Portraiture,Aristocracy,Status,Beauty/Ideal,Thoughtful,Abundance,,,,,,,,,,,
The Ladies Waldegrave - Reynolds.jpg,Naturalistic,Portraiture,Aristocracy,Status,Beauty/Ideal,Youth,Elegance,Harmony,Abundance,,,,,,,,,
The Lock - Fragonard.jpg,Naturalistic,Genre,Indoors,Private Domain,Urban Realm,Recreation,Rest/Liesure,the Body,Beauty,Love,Sexuality,Drama,Harmony,,,,,
The Prearranged Flight - Fragonard.jpg,Naturalistic,Genre,Outdoors,Private Domain,Rural Realm,Recreation,Beauty,Occupation of Time,Joy,Elegance,Lively,,,,,,,
The Progress of Love The Pursuit - Fragonard.jpg,Naturalistic,Genre,Outdoors,Private Domain,Rural Realm,Recreation,Communication,Beauty,Love,Drama,Abundance,Texture,Youth,Joy,Nature Interaction,Harmony,,
The Progress of Love.jpg,Naturalistic,Genre,Outdoors,Private Domain,Rural Realm,Recreation,Beauty,Love,Abundance,Texture,Youth,Joy,Drama,Harmony,,,,
The Scale of Love- Watteau.jpg,Naturalistic,Genre,Outdoors,Private Domain,Rural Realm,Recreation,Rest/Liesure,Communication,Love,Occupation of Time,Texture,Abundance,Intimacy,,,,,
The Stolen Kiss - Fragonard.jpg,Naturalistic,Genre,Indoors,Private Domain,Urban Realm,Recreation,Love,Youth,Texture,Mischievous,Joy,Sexuality,,,,,,
The Toilet of Venus Boucher.jpg,Naturalistic,Genre,Indoors,Private Domain,Urban Realm,Rest/Liesure,Chores,the Body,Beauty,Occupation of Time,Abundance,Freshness,Joy,Sexuality,Lively,Harmony,,
The Triumph of Venice - Pompeo.jpg,Naturalistic,History Genre,Allegorical Subgenre,Outdoors,Public Domain,Urban Realm,Festivity/Celebration,Work,Abundance,Drama,Greatness,Antiquity,Patriotism,Lively,Harmony,,,
The Triumph of Venus - Boucher.jpg,Naturalistic,Genre,Outdoors,Public Domain,Rural Realm,Recreation,Rest/Liesure,Chores,Festivity/Celebration,Love,Beauty,Texture,Abundance,Sexuality,Joy,Lively,,
The Village Bride - Greuze.jpg,Naturalistic,Genre,Indoors,Private Domain,Rural Realm,Conflict,Communication,Chores,Community/Family,Love,Drama,Uneasiness,Lively,,,,,
The Swing - Fragonard.jpeg,Naturalistic,Genre,Outdoors,Private Domain,Rural Realm,Recreation,Beauty,Love,Occupation of Time,Joy,Sexuality,Mischievous,Abundance,Texture,Nature Interaction,Harmony,,
Alyonushka.jpg,Naturalistic,History Genre,Mythological Subgenre,Outdoors,Private Domain,Rural Realm,Conflict,Rest/Liesure,Morality,Nature Interaction,Texture,Harmony,,,,,,
Charles IV of Spain and His Family - Goyta.jpg,Naturalistic,Portraiture,Royalty,Status,Greatness,Joy,Dedication,Love,Elegance,Harmony,,,,,,,,
Christ on the Sea of Galilee - Delacroix.jpg,Naturalistic,History Genre,Religious Subgenre,Outdoors,Public Domain,Rural Realm,Work,Violence,Conflict,Spirituality,Power,Occupation of Time,Drama,Nature Interaction,Texture,,,
Dido building Carthage - Turner.jpg,Naturalistic,Landscape,City,Human(s),Beauty,Ideal,New Directions,,,,,,,,,,,
